sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023,percentage_2016,percentage_2017,percentage_2018,percentage_2019,percentage_2020,percentage_2021,percentage_2022,percentage_2023
Total,From 30 to 44 years,Use of alcohol,Czechia,,,0.0,14.0,21.0,12.0,26.0,12.0,,,0.0,0.012426219322771048,0.016192458940550544,0.008555539711963496,0.021503597717310398,0.010612706947785482
Females,From 45 to 64 years,Use of alcohol,Czechia,,,0.0,17.0,15.0,16.0,25.0,21.0,,,0.0,0.015088980606221984,0.011566042100393246,0.011407386282617995,0.02067653626664461,0.018572237158624594
Males,From 45 to 64 years,Use of alcohol,Czechia,,,0.0,72.0,84.0,101.0,80.0,72.0,,,0.0,0.06390627080282253,0.06476983576220217,0.0720091259090261,0.06616491605326276,0.06367624168671289
Total,From 45 to 64 years,Use of alcohol,Czechia,,,0.0,89.0,99.0,117.0,105.0,93.0,,,0.0,0.07899525140904451,0.07633587786259542,0.08341651219164409,0.08684145231990736,0.08224847884533748
Females,Less than 15 years,Use of alcohol,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Use of alcohol,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Use of alcohol,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Use of alcohol,Czechia,22.0,22.0,25.0,34.0,40.0,38.0,48.0,46.0,0.02035792941350656,0.019712025231392295,0.022099056812255255,0.03017796121244397,0.030842778934381986,0.027092542421217735,0.03969894963195765,0.040682043299844345
Males,Total,Use of alcohol,Czechia,116.0,110.0,108.0,146.0,165.0,190.0,187.0,174.0,0.10734180963485276,0.09856012615696147,0.0954679254289427,0.12958771579461234,0.1272264631043257,0.1354627121060887,0.1546604912745017,0.15388425074288947
Total,Total,Use of alcohol,Czechia,138.0,132.0,133.0,180.0,205.0,228.0,235.0,220.0,0.12769973904835932,0.11827215138835379,0.11756698224119795,0.15976567700705632,0.15806924203870767,0.16255525452730643,0.19435944090645935,0.19456629404273384
Females,65 years or over,COVID-19,Denmark,0.0,0.0,0.0,0.0,421.0,586.0,671.0,0.0,0.0,0.0,0.0,0.0,0.7706952733130744,1.0254077133058026,1.1297057040878173,
Males,65 years or over,COVID-19,Denmark,0.0,0.0,0.0,0.0,580.0,751.0,826.0,0.0,0.0,0.0,0.0,0.0,1.061765459671219,1.3141317281444669,1.3906660381170448,
Total,65 years or over,COVID-19,Denmark,0.0,0.0,0.0,0.0,1001.0,1340.0,1498.0,0.0,0.0,0.0,0.0,0.0,1.832460732984293,2.3447889689927908,2.5220553572631155,
Females,From 15 to 29 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017498425141737246,0.0033672301165061616,
Males,From 15 to 29 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005249527542521173,0.0016836150582530808,
Total,From 15 to 29 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999370056694898,0.005050845174759243,
Females,From 30 to 44 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0018306301028814117,0.00874921257086862,0.005050845174759243,
Males,From 30 to 44 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0036612602057628234,0.013998740113389797,0.005050845174759243,
Total,From 30 to 44 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,3.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.005491890308644235,0.026247637712605867,0.010101690349518485,
Females,From 45 to 64 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,25.0,51.0,31.0,0.0,0.0,0.0,0.0,0.0,0.045765752572035294,0.08924196822285994,0.052192066805845504,
Males,From 45 to 64 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,41.0,71.0,53.0,0.0,0.0,0.0,0.0,0.0,0.07505583421813788,0.12423881850633443,0.0892315980874133,
Total,From 45 to 64 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,69.0,126.0,85.0,0.0,0.0,0.0,0.0,0.0,0.1263134770988174,0.22048015678588928,0.14310727995151187,
Females,Less than 15 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017498425141737246,0.0,
Males,Less than 15 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003499685028347449,0.0,
Total,Less than 15 years,COVID-19,Denmark,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005249527542521173,0.0,
Females,Total,COVID-19,Denmark,0.0,0.0,0.0,0.0,447.0,644.0,707.0,0.0,0.0,0.0,0.0,0.0,0.818291655987991,1.1268985791278785,1.1903158461849284,
Males,Total,COVID-19,Denmark,0.0,0.0,0.0,0.0,623.0,835.0,883.0,0.0,0.0,0.0,0.0,0.0,1.1404825540951196,1.4611184993350599,1.4866320964374706,
Total,Total,COVID-19,Denmark,0.0,0.0,0.0,0.0,1073.0,1488.0,1592.0,0.0,0.0,0.0,0.0,0.0,1.964266100391755,2.6037656610905016,2.6803151727389047,
Females,65 years or over,Drug dependence,Denmark,5.0,9.0,1.0,2.0,6.0,2.0,3.0,,0.009492168960607499,0.016956816640289397,0.0018164314387953426,0.0037127793866488456,0.01098378061728847,0.003499685028347449,0.005050845174759243,
Males,65 years or over,Drug dependence,Denmark,2.0,5.0,2.0,2.0,3.0,4.0,5.0,,0.0037968675842429992,0.009420453689049663,0.003632862877590685,0.0037127793866488456,0.005491890308644235,0.006999370056694898,0.008418075291265405,
Total,65 years or over,Drug dependence,Denmark,7.0,14.0,3.0,4.0,9.0,6.0,8.0,,0.013289036544850499,0.02637727032933906,0.005449294316386028,0.007425558773297691,0.016475670925932707,0.010499055085042347,0.013468920466024647,
Females,From 15 to 29 years,Drug dependence,Denmark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0018563896933244228,0.0,0.0,0.0,
Males,From 15 to 29 years,Drug dependence,Denmark,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.005695301376364499,0.0037681814756198658,0.0,0.0,0.0,0.0,0.0,
Total,From 15 to 29 years,Drug dependence,Denmark,3.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.005695301376364499,0.0037681814756198658,0.0,0.0018563896933244228,0.0,0.0,0.0,
Females,From 30 to 44 years,Drug dependence,Denmark,,,0.0,2.0,2.0,1.0,1.0,,,,0.0,0.0037127793866488456,0.0036612602057628234,0.0017498425141737246,0.0016836150582530808,
Males,From 30 to 44 years,Drug dependence,Denmark,,,0.0,3.0,10.0,5.0,1.0,,,,0.0,0.005569169079973268,0.01830630102881412,0.00874921257086862,0.0016836150582530808,
Total,From 30 to 44 years,Drug dependence,Denmark,,,0.0,5.0,12.0,6.0,2.0,,,,0.0,0.009281948466622112,0.02196756123457694,0.010499055085042347,0.0033672301165061616,
Females,From 45 to 64 years,Drug dependence,Denmark,,,0.0,1.0,2.0,1.0,3.0,,,,0.0,0.0018563896933244228,0.0036612602057628234,0.0017498425141737246,0.005050845174759243,
Males,From 45 to 64 years,Drug dependence,Denmark,,,0.0,8.0,6.0,7.0,3.0,,,,0.0,0.014851117546595382,0.01098378061728847,0.01224889759921607,0.005050845174759243,
Total,From 45 to 64 years,Drug dependence,Denmark,,,0.0,9.0,8.0,8.0,6.0,,,,0.0,0.016707507239919803,0.014645040823051294,0.013998740113389797,0.010101690349518485,
Females,Less than 15 years,Drug dependence,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Denmark,10.0,10.0,6.0,6.0,10.0,4.0,7.0,,0.018984337921214997,0.018840907378099327,0.010898588632772056,0.011138338159946536,0.01830630102881412,0.006999370056694898,0.011785305407771566,
Males,Total,Drug dependence,Denmark,24.0,27.0,12.0,13.0,19.0,16.0,9.0,,0.045562411010915994,0.05087044992086819,0.021797177265544112,0.024133066013217495,0.034781971954746825,0.027997480226779593,0.015152535524277729,
Total,Total,Drug dependence,Denmark,34.0,37.0,18.0,19.0,29.0,20.0,16.0,,0.064546748932131,0.06971135729896752,0.032695765898316166,0.03527140417316403,0.05308827298356093,0.03499685028347448,0.026937840932049293,
Females,65 years or over,Intentional self-harm,Denmark,47.0,62.0,55.0,56.0,54.0,55.0,52.0,,0.08922638822971049,0.11681362574421585,0.09990372913374385,0.10395782282616767,0.09885402555559625,0.09624133827955483,0.08754798302916021,
Males,65 years or over,Intentional self-harm,Denmark,126.0,137.0,143.0,164.0,132.0,159.0,141.0,,0.23920265780730895,0.2581204310799608,0.259749695747734,0.3044479097052053,0.24164317358034634,0.27822495975362216,0.23738972321368443,
Total,65 years or over,Intentional self-harm,Denmark,173.0,199.0,198.0,221.0,186.0,214.0,193.0,,0.32842904603701945,0.37493405682417663,0.35965342488147783,0.41026212222469743,0.3404971991359426,0.37446629803317705,0.3249377062428446,
Females,From 15 to 29 years,Intentional self-harm,Denmark,20.0,21.0,13.0,14.0,28.0,19.0,19.0,,0.037968675842429994,0.039565905494008596,0.023613608704339453,0.025989455706541917,0.051257642880679535,0.033247007769300764,0.031988686106808537,
Males,From 15 to 29 years,Intentional self-harm,Denmark,56.0,52.0,47.0,56.0,60.0,45.0,44.0,,0.10631229235880399,0.09797271836611651,0.08537227762338111,0.10395782282616767,0.1098378061728847,0.0787429131378176,0.07407906256313557,
Total,From 15 to 29 years,Intentional self-harm,Denmark,76.0,73.0,60.0,70.0,88.0,66.0,63.0,,0.14428096820123398,0.1375386238601251,0.10898588632772055,0.1299472785327096,0.16109544905356424,0.1154896059354658,0.1060677486699441,
Females,From 30 to 44 years,Intentional self-harm,Denmark,,,0.0,27.0,24.0,17.0,17.0,,,,0.0,0.05012252171975941,0.04393512246915388,0.029747322740953312,0.028621455990302375,
Males,From 30 to 44 years,Intentional self-harm,Denmark,,,0.0,62.0,67.0,68.0,84.0,,,,0.0,0.11509616098611421,0.12265221689305458,0.11898929096381325,0.1414236648932588,
Total,From 30 to 44 years,Intentional self-harm,Denmark,,,0.0,94.0,91.0,88.0,106.0,,,,0.0,0.17450063117249573,0.1665873393622085,0.15398614124728774,0.1784631961748266,
Females,From 45 to 64 years,Intentional self-harm,Denmark,,,0.0,54.0,60.0,59.0,52.0,,,,0.0,0.10024504343951882,0.1098378061728847,0.10324070833624974,0.08754798302916021,
Males,From 45 to 64 years,Intentional self-harm,Denmark,,,0.0,169.0,151.0,122.0,161.0,,,,0.0,0.3137298581718274,0.2764251455350932,0.21348078672919438,0.27106202437874605,
Total,From 45 to 64 years,Intentional self-harm,Denmark,,,0.0,226.0,214.0,182.0,215.0,,,,0.0,0.41954407069131955,0.39175484201662214,0.3184713375796179,0.3619772375244124,
Females,Less than 15 years,Intentional self-harm,Denmark,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,0.0,0.0018840907378099329,0.0,0.0018563896933244228,0.0,0.003499685028347449,0.0,
Males,Less than 15 years,Intentional self-harm,Denmark,1.0,2.0,2.0,0.0,2.0,1.0,2.0,,0.0018984337921214996,0.0037681814756198658,0.003632862877590685,0.0,0.0036612602057628234,0.0017498425141737246,0.0033672301165061616,
Total,Less than 15 years,Intentional self-harm,Denmark,1.0,3.0,2.0,1.0,2.0,3.0,2.0,,0.0018984337921214996,0.005652272213429799,0.003632862877590685,0.0018563896933244228,0.0036612602057628234,0.005249527542521173,0.0033672301165061616,
Females,Total,Intentional self-harm,Denmark,144.0,165.0,160.0,152.0,166.0,152.0,140.0,,0.273374466065496,0.3108749717386389,0.29062903020725483,0.28217123338531225,0.3038845970783144,0.2659760621544061,0.23570610815543133,
Males,Total,Intentional self-harm,Denmark,436.0,424.0,430.0,451.0,412.0,395.0,432.0,,0.827717133364974,0.7988544728314115,0.7810655186819974,0.8372317516893147,0.7542196023871416,0.6911877930986211,0.727321705165331,
Total,Total,Intentional self-harm,Denmark,580.0,589.0,590.0,612.0,581.0,553.0,579.0,,1.10109159943047,1.1097294445700505,1.0716945488892522,1.1361104923145466,1.0635960897741004,0.9676629103380695,0.9748131187285338,
Females,65 years or over,Mental and behavioural disorders,Denmark,1984.0,2183.0,2302.0,2143.0,2080.0,2220.0,2418.0,0.0,3.7664926435690553,4.112970080639084,4.181425172106879,3.978243112794238,3.8077106139933363,3.884650381465668,4.07098121085595,
Males,65 years or over,Mental and behavioural disorders,Denmark,1199.0,1198.0,1317.0,1303.0,1238.0,1449.0,1520.0,0.0,2.276222116753678,2.2571407038962996,2.3922402048934663,2.4188757704017227,2.2663200673671877,2.5355218030377267,2.559094888544683,
Total,65 years or over,Mental and behavioural disorders,Denmark,3183.0,3381.0,3619.0,3446.0,3318.0,3669.0,3938.0,0.0,6.042714760322734,6.370110784535384,6.573665377000346,6.397118883195961,6.074030681360524,6.420172184503395,6.630076099400633,
Females,From 15 to 29 years,Mental and behavioural disorders,Denmark,4.0,2.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0075937351684859985,0.0037681814756198658,0.0,0.012994727853270958,0.0,0.0,0.010101690349518485,
Males,From 15 to 29 years,Mental and behavioural disorders,Denmark,3.0,6.0,4.0,2.0,2.0,1.0,3.0,0.0,0.005695301376364499,0.011304544426859598,0.00726572575518137,0.0037127793866488456,0.0036612602057628234,0.0017498425141737246,0.005050845174759243,
Total,From 15 to 29 years,Mental and behavioural disorders,Denmark,7.0,8.0,4.0,9.0,2.0,1.0,9.0,0.0,0.013289036544850499,0.015072725902479463,0.00726572575518137,0.016707507239919803,0.0036612602057628234,0.0017498425141737246,0.015152535524277729,
Females,From 30 to 44 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,4.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.007425558773297691,0.014645040823051294,0.013998740113389797,0.006734460233012323,
Males,From 30 to 44 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,15.0,24.0,16.0,17.0,0.0,0.0,0.0,0.0,0.027845845399866342,0.04393512246915388,0.027997480226779593,0.028621455990302375,
Total,From 30 to 44 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,19.0,32.0,24.0,21.0,0.0,0.0,0.0,0.0,0.03527140417316403,0.058580163292205174,0.041996220340169386,0.0353559162233147,
Females,From 45 to 64 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,59.0,85.0,77.0,81.0,0.0,0.0,0.0,0.0,0.10952699190614093,0.15560355874492002,0.1347378735913768,0.13637281971849957,
Males,From 45 to 64 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,224.0,217.0,241.0,188.0,0.0,0.0,0.0,0.0,0.41583129130467067,0.39724673232526636,0.4217120459158676,0.3165196309515792,
Total,From 45 to 64 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,287.0,302.0,318.0,269.0,0.0,0.0,0.0,0.0,0.5327838419841093,0.5528502910701864,0.5564499195072443,0.4528924506700788,
Females,Less than 15 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003499685028347449,0.0,
Total,Less than 15 years,Mental and behavioural disorders,Denmark,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003499685028347449,0.0,
Females,Total,Mental and behavioural disorders,Denmark,2129.0,2282.0,2395.0,2213.0,2173.0,2305.0,2509.0,0.0,4.041765543426673,4.299495063682267,4.350353295914846,4.108190391326947,3.977959213561308,4.033386995170435,4.22419018115698,
Males,Total,Mental and behavioural disorders,Denmark,1558.0,1492.0,1624.0,1544.0,1481.0,1709.0,1728.0,0.0,2.9577598481252965,2.8110633808124197,2.9498846566036367,2.8662656864929086,2.711163182367371,2.990480856722895,2.909286820661324,
Total,Total,Mental and behavioural disorders,Denmark,3687.0,3774.0,4019.0,3761.0,3654.0,4014.0,4237.0,0.0,6.99952539155197,7.110558444494687,7.300237952518482,6.981881636593154,6.6891223959286785,7.02386785189333,7.133477001818305,
Females,65 years or over,Total,Denmark,23011.0,23286.0,24054.0,23467.0,23636.0,24956.0,26105.0,,43.68485999050783,43.8729369206421,43.692441828783174,43.56389693324423,43.26877311170505,43.669069783719465,43.95077109569668,
Males,65 years or over,Total,Denmark,21040.0,21655.0,22798.0,22367.0,23195.0,24366.0,25541.0,,39.943046986236354,40.799984927274096,41.41100394165622,41.52186827058736,42.46146523633435,42.63666270035697,43.00121220284194,
Total,65 years or over,Total,Denmark,44052.0,44941.0,46853.0,45889.0,46864.0,49364.0,51702.0,,83.6298054105363,84.6729218479162,85.10526220187819,85.18786663696443,85.79064914143449,86.37922586967173,87.0462657418008,
Females,From 15 to 29 years,Total,Denmark,121.0,90.0,74.0,92.0,102.0,100.0,97.0,,0.22971048884670148,0.16956816640289396,0.13441592647085537,0.17078785178584688,0.186724270493904,0.17498425141737245,0.16331066065054886,
Males,From 15 to 29 years,Total,Denmark,212.0,225.0,211.0,211.0,225.0,199.0,193.0,,0.402467963929758,0.42392041600723496,0.3832670335858173,0.39169822529145315,0.41189177314831765,0.34821866032057114,0.3249377062428446,
Total,From 15 to 29 years,Total,Denmark,333.0,315.0,285.0,308.0,328.0,304.0,299.0,,0.6321784527764595,0.5934885824101289,0.5176829600566727,0.5717680255439223,0.6004466737451031,0.5319521243088122,0.5034009024176712,
Females,From 30 to 44 years,Total,Denmark,,,0.0,239.0,259.0,240.0,240.0,,,,0.0,0.44367713670453696,0.47413319664628567,0.4199622034016939,0.4040676139807395,
Males,From 30 to 44 years,Total,Denmark,,,0.0,422.0,455.0,402.0,482.0,,,,0.0,0.7833964505829063,0.8329366968110423,0.7034366906978372,0.8115024580779849,
Total,From 30 to 44 years,Total,Denmark,,,0.0,682.0,722.0,654.0,741.0,,,,0.0,1.2660577708472562,1.3217149342803793,1.1443970042696157,1.247558758165533,
Females,From 45 to 64 years,Total,Denmark,,,0.0,2501.0,2473.0,2485.0,2414.0,,,,0.0,4.642830623004381,4.527148244425732,4.348358647721705,4.064246750622937,
Males,From 45 to 64 years,Total,Denmark,,,0.0,4031.0,3811.0,3867.0,3815.0,,,,0.0,7.483106853790749,6.97653132208106,6.766641002309792,6.422991447235504,
Total,From 45 to 64 years,Total,Denmark,,,0.0,6585.0,6317.0,6385.0,6276.0,,,,0.0,12.224326130541323,11.564090359901877,11.172744452999229,10.566368105596338,
Females,Less than 15 years,Total,Denmark,126.0,131.0,123.0,79.0,86.0,99.0,91.0,,0.23920265780730895,0.24681588665310122,0.22342106697182718,0.1466547857726294,0.15743418884780142,0.17323440890319872,0.15320897030103037,
Males,Less than 15 years,Total,Denmark,163.0,176.0,172.0,117.0,130.0,121.0,108.0,,0.30944470811580443,0.3315999698545482,0.3124262074727989,0.21719759411895748,0.23798191337458352,0.21173094421502064,0.18183042629133275,
Total,Less than 15 years,Total,Denmark,289.0,307.0,295.0,197.0,218.0,221.0,200.0,,0.5486473659231135,0.5784158565076495,0.5358472744446261,0.3657087695849113,0.3990773624281478,0.3867151956323931,0.3367230116506162,
Females,Total,Total,Denmark,26355.0,26366.0,27181.0,26461.0,26647.0,27973.0,29038.0,,50.033222591362126,49.67593639309669,49.37242293789621,49.12192767505755,48.78080035148098,48.94834464898159,48.888814061552964,
Males,Total,Total,Denmark,26319.0,26710.0,27869.0,27244.0,27899.0,29076.0,30221.0,,49.96487897484575,50.324063606903316,50.622127767787404,50.57548080493057,51.07274924028851,50.87842094211521,50.88053067546636,
Total,Total,Total,Denmark,52675.0,53076.0,55053.0,53868.0,54626.0,57148.0,59396.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Females,65 years or over,Use of alcohol,Denmark,80.0,72.0,63.0,71.0,68.0,75.0,74.0,,0.15187470336971998,0.13565453312231518,0.11443518064410658,0.131803668226034,0.124482846995936,0.13123818856302932,0.124587514310728,
Males,65 years or over,Use of alcohol,Denmark,218.0,171.0,158.0,147.0,149.0,202.0,205.0,,0.413858566682487,0.32217951616549856,0.28699616732966415,0.27288928491869013,0.2727638853293304,0.3534681878630923,0.3451410869418816,
Total,65 years or over,Use of alcohol,Denmark,298.0,243.0,221.0,218.0,217.0,277.0,279.0,,0.565733270052207,0.4578340492878137,0.4014313479737707,0.40469295314472414,0.39724673232526636,0.48470637642612163,0.46972860125260957,
Females,From 15 to 29 years,Use of alcohol,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Denmark,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0017498425141737246,0.0016836150582530808,
Total,From 15 to 29 years,Use of alcohol,Denmark,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0017498425141737246,0.0016836150582530808,
Females,From 30 to 44 years,Use of alcohol,Denmark,,,0.0,0.0,2.0,1.0,1.0,,,,0.0,0.0,0.0036612602057628234,0.0017498425141737246,0.0016836150582530808,
Males,From 30 to 44 years,Use of alcohol,Denmark,,,0.0,10.0,8.0,7.0,12.0,,,,0.0,0.018563896933244225,0.014645040823051294,0.01224889759921607,0.02020338069903697,
Total,From 30 to 44 years,Use of alcohol,Denmark,,,0.0,10.0,10.0,8.0,13.0,,,,0.0,0.018563896933244225,0.01830630102881412,0.013998740113389797,0.021886995757290053,
Females,From 45 to 64 years,Use of alcohol,Denmark,,,0.0,34.0,49.0,39.0,38.0,,,,0.0,0.06311724957303037,0.08970087504118918,0.06824385805277526,0.06397737221361707,
Males,From 45 to 64 years,Use of alcohol,Denmark,,,0.0,165.0,156.0,175.0,124.0,,,,0.0,0.30630429939852977,0.28557829604950025,0.3062224399804018,0.20876826722338201,
Total,From 45 to 64 years,Use of alcohol,Denmark,,,0.0,201.0,205.0,214.0,162.0,,,,0.0,0.3731343283582089,0.3752791710906894,0.37446629803317705,0.27274563943699914,
Females,Less than 15 years,Use of alcohol,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Denmark,165.0,126.0,105.0,105.0,119.0,115.0,113.0,,0.31324157570004746,0.23739543296405155,0.190725301073511,0.1949209177990644,0.217844982242888,0.2012318891299783,0.19024850158259815,
Males,Total,Use of alcohol,Denmark,491.0,408.0,363.0,322.0,313.0,385.0,342.0,,0.9321309919316564,0.7687090210264526,0.6593646122827094,0.5977574812504641,0.5729872222018819,0.6736893679568838,0.5757963499225537,
Total,Total,Use of alcohol,Denmark,656.0,534.0,468.0,429.0,432.0,500.0,455.0,,1.2453725676317038,1.0061044539905042,0.8500899133562204,0.7963911784361775,0.79083220444477,0.8749212570868623,0.7660448515051519,
Females,65 years or over,COVID-19,Estonia,0.0,0.0,0.0,0.0,100.0,810.0,448.0,0.0,0.0,0.0,0.0,0.0,0.6358491765753163,4.395962227287528,2.6008708272859216,
Males,65 years or over,COVID-19,Estonia,0.0,0.0,0.0,0.0,84.0,743.0,386.0,0.0,0.0,0.0,0.0,0.0,0.5341133083232658,4.032345598610658,2.2409288824383164,
Total,65 years or over,COVID-19,Estonia,0.0,0.0,0.0,0.0,184.0,1553.0,834.0,0.0,0.0,0.0,0.0,0.0,1.1699624848985821,8.428307825898187,4.841799709724238,
Females,From 15 to 29 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054271138608488,0.011611030478955007,
Males,From 15 to 29 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011611030478955007,
Total,From 15 to 29 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054271138608488,0.023222060957910014,
Females,From 30 to 44 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434169108867904,0.017416545718432513,
Males,From 30 to 44 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.006358491765753163,0.0759795940518832,0.029027576197387515,
Total,From 30 to 44 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,1.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.006358491765753163,0.11939650493867363,0.04644412191582003,
Females,From 45 to 64 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,8.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.050867934126025305,0.32562683165092804,0.10449927431059507,
Males,From 45 to 64 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,10.0,137.0,48.0,0.0,0.0,0.0,0.0,0.0,0.06358491765753163,0.7435145989362857,0.2786647314949202,
Total,From 45 to 64 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,18.0,197.0,66.0,0.0,0.0,0.0,0.0,0.0,0.11445285178355695,1.0691414305872136,0.38316400580551524,
Females,Less than 15 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054271138608488,0.0,
Males,Less than 15 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005805515239477504,
Total,Less than 15 years,COVID-19,Estonia,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054271138608488,0.005805515239477504,
Females,Total,COVID-19,Estonia,0.0,0.0,0.0,0.0,108.0,880.0,471.0,0.0,0.0,0.0,0.0,0.0,0.6867171107013417,4.775860197546945,2.734397677793904,
Males,Total,COVID-19,Estonia,0.0,0.0,0.0,0.0,95.0,894.0,442.0,0.0,0.0,0.0,0.0,0.0,0.6040567177465506,4.851839791598827,2.5660377358490565,
Total,Total,COVID-19,Estonia,0.0,0.0,0.0,0.0,203.0,1774.0,913.0,0.0,0.0,0.0,0.0,0.0,1.2907738284478922,9.627699989145773,5.300435413642961,
Females,65 years or over,Drug dependence,Estonia,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,
