sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023
Total,65 years or over,Drug dependence,European Union - 28 countries (2013-2020),93.0,90.0,126.0,,,,,
Females,From 15 to 29 years,Drug dependence,European Union - 28 countries (2013-2020),46.0,18.0,37.0,,,,,
Males,From 15 to 29 years,Drug dependence,European Union - 28 countries (2013-2020),145.0,114.0,139.0,,,,,
Total,From 15 to 29 years,Drug dependence,European Union - 28 countries (2013-2020),191.0,132.0,176.0,,,,,
Females,From 30 to 44 years,Drug dependence,European Union - 28 countries (2013-2020),,,18.0,,,,,
Males,From 30 to 44 years,Drug dependence,European Union - 28 countries (2013-2020),,,90.0,,,,,
Total,From 30 to 44 years,Drug dependence,European Union - 28 countries (2013-2020),,,108.0,,,,,
Females,From 45 to 64 years,Drug dependence,European Union - 28 countries (2013-2020),,,16.0,,,,,
Males,From 45 to 64 years,Drug dependence,European Union - 28 countries (2013-2020),,,92.0,,,,,
Total,From 45 to 64 years,Drug dependence,European Union - 28 countries (2013-2020),,,108.0,,,,,
Females,Less than 15 years,Drug dependence,European Union - 28 countries (2013-2020),0.0,0.0,0.0,,,,,
Males,Less than 15 years,Drug dependence,European Union - 28 countries (2013-2020),0.0,0.0,0.0,,,,,
Total,Less than 15 years,Drug dependence,European Union - 28 countries (2013-2020),0.0,0.0,0.0,,,,,
Females,Total,Drug dependence,European Union - 28 countries (2013-2020),350.0,315.0,376.0,,,,,
Males,Total,Drug dependence,European Union - 28 countries (2013-2020),1408.0,1207.0,1331.0,,,,,
Total,Total,Drug dependence,European Union - 28 countries (2013-2020),1758.0,1522.0,1707.0,,,,,
Females,65 years or over,Intentional self-harm,European Union - 28 countries (2013-2020),4027.0,4012.0,4053.0,,,,,
Males,65 years or over,Intentional self-harm,European Union - 28 countries (2013-2020),11691.0,11622.0,12148.0,,,,,
Total,65 years or over,Intentional self-harm,European Union - 28 countries (2013-2020),15718.0,15635.0,16201.0,,,,,
Females,From 15 to 29 years,Intentional self-harm,European Union - 28 countries (2013-2020),1269.0,1232.0,1393.0,,,,,
Males,From 15 to 29 years,Intentional self-harm,European Union - 28 countries (2013-2020),4684.0,4713.0,4746.0,,,,,
Total,From 15 to 29 years,Intentional self-harm,European Union - 28 countries (2013-2020),5961.0,5960.0,6143.0,,,,,
Females,From 30 to 44 years,Intentional self-harm,European Union - 28 countries (2013-2020),,,405.0,,,,,
Males,From 30 to 44 years,Intentional self-harm,European Union - 28 countries (2013-2020),,,1418.0,,,,,
Total,From 30 to 44 years,Intentional self-harm,European Union - 28 countries (2013-2020),,,1823.0,,,,,
Females,From 45 to 64 years,Intentional self-harm,European Union - 28 countries (2013-2020),,,949.0,,,,,
Males,From 45 to 64 years,Intentional self-harm,European Union - 28 countries (2013-2020),,,2806.0,,,,,
Total,From 45 to 64 years,Intentional self-harm,European Union - 28 countries (2013-2020),,,3755.0,,,,,
Females,Less than 15 years,Intentional self-harm,European Union - 28 countries (2013-2020),63.0,75.0,68.0,,,,,
Males,Less than 15 years,Intentional self-harm,European Union - 28 countries (2013-2020),88.0,108.0,101.0,,,,,
Total,Less than 15 years,Intentional self-harm,European Union - 28 countries (2013-2020),151.0,183.0,169.0,,,,,
Females,Total,Intentional self-harm,European Union - 28 countries (2013-2020),12211.0,12227.0,12466.0,,,,,
Males,Total,Intentional self-harm,European Union - 28 countries (2013-2020),41307.0,40535.0,41097.0,,,,,
Total,Total,Intentional self-harm,European Union - 28 countries (2013-2020),53534.0,52784.0,53579.0,,,,,
Females,65 years or over,Mental and behavioural disorders,European Union - 28 countries (2013-2020),138387.0,150009.0,156330.0,0.0,0.0,0.0,0.0,0.0
Males,65 years or over,Mental and behavioural disorders,European Union - 28 countries (2013-2020),73053.0,79513.0,83717.0,0.0,0.0,0.0,0.0,0.0
Total,65 years or over,Mental and behavioural disorders,European Union - 28 countries (2013-2020),211442.0,229524.0,240049.0,0.0,0.0,0.0,0.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),255.0,196.0,214.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),338.0,341.0,389.0,0.0,0.0,0.0,0.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),593.0,537.0,603.0,0.0,0.0,0.0,0.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),0.0,0.0,573.0,0.0,0.0,0.0,0.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),0.0,0.0,716.0,0.0,0.0,0.0,0.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),0.0,0.0,2518.0,0.0,0.0,0.0,0.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),0.0,0.0,3467.0,0.0,0.0,0.0,0.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),44.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),32.0,32.0,44.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,European Union - 28 countries (2013-2020),76.0,66.0,81.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,European Union - 28 countries (2013-2020),143312.0,154809.0,161451.0,0.0,0.0,0.0,0.0,0.0
Males,Total,Mental and behavioural disorders,European Union - 28 countries (2013-2020),86645.0,92946.0,97691.0,0.0,0.0,0.0,0.0,0.0
Total,Total,Mental and behavioural disorders,European Union - 28 countries (2013-2020),229961.0,247759.0,259144.0,0.0,0.0,0.0,0.0,0.0
Females,65 years or over,Total,European Union - 28 countries (2013-2020),2279725.0,2362631.0,2369511.0,,,,,
Males,65 years or over,Total,European Union - 28 countries (2013-2020),1983956.0,2045366.0,2069518.0,,,,,
Total,65 years or over,Total,European Union - 28 countries (2013-2020),4263791.0,4408056.0,4439091.0,,,,,
Females,From 15 to 29 years,Total,European Union - 28 countries (2013-2020),9085.0,8743.0,8811.0,,,,,
Males,From 15 to 29 years,Total,European Union - 28 countries (2013-2020),23453.0,23311.0,23051.0,,,,,
Total,From 15 to 29 years,Total,European Union - 28 countries (2013-2020),32566.0,32077.0,31882.0,,,,,
Females,From 30 to 44 years,Total,European Union - 28 countries (2013-2020),,,4151.0,,,,,
Males,From 30 to 44 years,Total,European Union - 28 countries (2013-2020),,,8468.0,,,,,
Total,From 30 to 44 years,Total,European Union - 28 countries (2013-2020),,,12619.0,,,,,
Females,From 45 to 64 years,Total,European Union - 28 countries (2013-2020),,,30123.0,,,,,
Males,From 45 to 64 years,Total,European Union - 28 countries (2013-2020),,,58502.0,,,,,
Total,From 45 to 64 years,Total,European Union - 28 countries (2013-2020),,,88625.0,,,,,
Females,Less than 15 years,Total,European Union - 28 countries (2013-2020),11870.0,11592.0,11323.0,,,,,
Males,Less than 15 years,Total,European Union - 28 countries (2013-2020),15179.0,14789.0,14378.0,,,,,
Total,Less than 15 years,Total,European Union - 28 countries (2013-2020),27092.0,26391.0,25723.0,,,,,
Females,Total,Total,European Union - 28 countries (2013-2020),2577499.0,2657208.0,2665078.0,,,,,
Males,Total,Total,European Union - 28 countries (2013-2020),2559602.0,2612713.0,2638436.0,,,,,
Total,Total,Total,European Union - 28 countries (2013-2020),5137420.0,5270135.0,5303754.0,,,,,
Females,65 years or over,Use of alcohol,European Union - 28 countries (2013-2020),1366.0,1449.0,1521.0,,,,,
Males,65 years or over,Use of alcohol,European Union - 28 countries (2013-2020),4545.0,4658.0,5150.0,,,,,
Total,65 years or over,Use of alcohol,European Union - 28 countries (2013-2020),5911.0,6107.0,6671.0,,,,,
Females,From 15 to 29 years,Use of alcohol,European Union - 28 countries (2013-2020),10.0,13.0,11.0,,,,,
Males,From 15 to 29 years,Use of alcohol,European Union - 28 countries (2013-2020),66.0,68.0,78.0,,,,,
Total,From 15 to 29 years,Use of alcohol,European Union - 28 countries (2013-2020),76.0,81.0,89.0,,,,,
Females,From 30 to 44 years,Use of alcohol,European Union - 28 countries (2013-2020),,,29.0,,,,,
Males,From 30 to 44 years,Use of alcohol,European Union - 28 countries (2013-2020),,,229.0,,,,,
Total,From 30 to 44 years,Use of alcohol,European Union - 28 countries (2013-2020),,,258.0,,,,,
Females,From 45 to 64 years,Use of alcohol,European Union - 28 countries (2013-2020),,,256.0,,,,,
Males,From 45 to 64 years,Use of alcohol,European Union - 28 countries (2013-2020),,,1262.0,,,,,
Total,From 45 to 64 years,Use of alcohol,European Union - 28 countries (2013-2020),,,1518.0,,,,,
Females,Less than 15 years,Use of alcohol,European Union - 28 countries (2013-2020),0.0,0.0,0.0,,,,,
Males,Less than 15 years,Use of alcohol,European Union - 28 countries (2013-2020),0.0,0.0,0.0,,,,,
Total,Less than 15 years,Use of alcohol,European Union - 28 countries (2013-2020),0.0,0.0,0.0,,,,,
Females,Total,Use of alcohol,European Union - 28 countries (2013-2020),3198.0,3201.0,3271.0,,,,,
Males,Total,Use of alcohol,European Union - 28 countries (2013-2020),13174.0,13056.0,13580.0,,,,,
Total,Total,Use of alcohol,European Union - 28 countries (2013-2020),16374.0,16259.0,16851.0,,,,,
Females,65 years or over,Drug dependence,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,65 years or over,Drug dependence,Finland,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
Total,65 years or over,Drug dependence,Finland,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
Females,From 15 to 29 years,Drug dependence,Finland,1.0,0.0,3.0,6.0,5.0,8.0,0.0,
Males,From 15 to 29 years,Drug dependence,Finland,9.0,8.0,13.0,5.0,16.0,9.0,9.0,
Total,From 15 to 29 years,Drug dependence,Finland,10.0,8.0,16.0,11.0,21.0,17.0,9.0,
Females,From 30 to 44 years,Drug dependence,Finland,,,0.0,3.0,5.0,9.0,4.0,
Males,From 30 to 44 years,Drug dependence,Finland,,,0.0,15.0,15.0,16.0,19.0,
Total,From 30 to 44 years,Drug dependence,Finland,,,0.0,18.0,20.0,25.0,23.0,
Females,From 45 to 64 years,Drug dependence,Finland,,,0.0,2.0,0.0,1.0,3.0,
Males,From 45 to 64 years,Drug dependence,Finland,,,0.0,8.0,9.0,11.0,15.0,
Total,From 45 to 64 years,Drug dependence,Finland,,,0.0,10.0,9.0,12.0,18.0,
Females,Less than 15 years,Drug dependence,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Finland,9.0,7.0,8.0,11.0,10.0,18.0,7.0,
Males,Total,Drug dependence,Finland,33.0,22.0,39.0,29.0,41.0,36.0,44.0,
Total,Total,Drug dependence,Finland,42.0,29.0,47.0,40.0,51.0,54.0,51.0,
Females,65 years or over,Intentional self-harm,Finland,42.0,50.0,43.0,34.0,29.0,50.0,42.0,
Males,65 years or over,Intentional self-harm,Finland,142.0,135.0,160.0,134.0,123.0,138.0,139.0,
Total,65 years or over,Intentional self-harm,Finland,184.0,185.0,203.0,168.0,152.0,188.0,181.0,
Females,From 15 to 29 years,Intentional self-harm,Finland,52.0,44.0,44.0,43.0,50.0,44.0,36.0,
Males,From 15 to 29 years,Intentional self-harm,Finland,116.0,134.0,120.0,132.0,101.0,84.0,109.0,
Total,From 15 to 29 years,Intentional self-harm,Finland,168.0,178.0,164.0,175.0,151.0,128.0,145.0,
Females,From 30 to 44 years,Intentional self-harm,Finland,,,0.0,39.0,46.0,55.0,44.0,
Males,From 30 to 44 years,Intentional self-harm,Finland,,,0.0,134.0,152.0,129.0,142.0,
Total,From 30 to 44 years,Intentional self-harm,Finland,,,0.0,173.0,198.0,184.0,186.0,
Females,From 45 to 64 years,Intentional self-harm,Finland,,,0.0,61.0,62.0,72.0,57.0,
Males,From 45 to 64 years,Intentional self-harm,Finland,,,0.0,164.0,159.0,173.0,175.0,
Total,From 45 to 64 years,Intentional self-harm,Finland,,,0.0,225.0,221.0,245.0,232.0,
Females,Less than 15 years,Intentional self-harm,Finland,1.0,3.0,2.0,2.0,2.0,2.0,4.0,
Males,Less than 15 years,Intentional self-harm,Finland,2.0,2.0,4.0,2.0,2.0,1.0,0.0,
Total,Less than 15 years,Intentional self-harm,Finland,3.0,5.0,6.0,4.0,4.0,3.0,4.0,
Females,Total,Intentional self-harm,Finland,170.0,212.0,190.0,179.0,189.0,223.0,183.0,
Males,Total,Intentional self-harm,Finland,622.0,613.0,617.0,566.0,537.0,525.0,565.0,
Total,Total,Intentional self-harm,Finland,792.0,825.0,807.0,745.0,726.0,748.0,748.0,
Females,65 years or over,Mental and behavioural disorders,Finland,1518.0,1470.0,1644.0,1546.0,1716.0,1833.0,2093.0,0.0
Males,65 years or over,Mental and behavioural disorders,Finland,813.0,841.0,940.0,1010.0,957.0,1225.0,1266.0,0.0
Total,65 years or over,Mental and behavioural disorders,Finland,2331.0,2311.0,2584.0,2556.0,2673.0,3058.0,3359.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Finland,3.0,6.0,5.0,15.0,15.0,12.0,4.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Finland,11.0,14.0,18.0,9.0,22.0,10.0,13.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Finland,14.0,20.0,23.0,24.0,37.0,22.0,17.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Finland,0.0,0.0,0.0,7.0,11.0,14.0,14.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Finland,0.0,0.0,0.0,28.0,29.0,33.0,30.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Finland,0.0,0.0,0.0,35.0,40.0,47.0,44.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Finland,0.0,0.0,0.0,59.0,39.0,49.0,58.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Finland,0.0,0.0,0.0,145.0,109.0,126.0,111.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Finland,0.0,0.0,0.0,204.0,148.0,175.0,169.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Finland,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Finland,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Finland,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0
Females,Total,Mental and behavioural disorders,Finland,1581.0,1522.0,1718.0,1629.0,1781.0,1908.0,2171.0,0.0
Males,Total,Mental and behavioural disorders,Finland,995.0,996.0,1133.0,1192.0,1119.0,1396.0,1420.0,0.0
Total,Total,Mental and behavioural disorders,Finland,2576.0,2518.0,2851.0,2821.0,2900.0,3304.0,3591.0,0.0
Females,65 years or over,Total,Finland,24363.0,24126.0,24704.0,24395.0,25109.0,25988.0,28895.0,
Males,65 years or over,Total,Finland,21185.0,21373.0,21797.0,21981.0,22590.0,24009.0,26569.0,
Total,65 years or over,Total,Finland,45548.0,45499.0,46501.0,46376.0,47699.0,49997.0,55464.0,
Females,From 15 to 29 years,Total,Finland,129.0,130.0,125.0,154.0,141.0,121.0,132.0,
Males,From 15 to 29 years,Total,Finland,332.0,369.0,334.0,374.0,394.0,323.0,335.0,
Total,From 15 to 29 years,Total,Finland,461.0,499.0,459.0,528.0,535.0,444.0,467.0,
Females,From 30 to 44 years,Total,Finland,,,0.0,281.0,284.0,280.0,311.0,
Males,From 30 to 44 years,Total,Finland,,,0.0,693.0,712.0,638.0,644.0,
Total,From 30 to 44 years,Total,Finland,,,0.0,974.0,996.0,918.0,955.0,
Females,From 45 to 64 years,Total,Finland,,,0.0,1936.0,1919.0,1996.0,2040.0,
Males,From 45 to 64 years,Total,Finland,,,0.0,3852.0,4127.0,4016.0,3966.0,
Total,From 45 to 64 years,Total,Finland,,,0.0,5788.0,6046.0,6012.0,6006.0,
Females,Less than 15 years,Total,Finland,84.0,84.0,82.0,75.0,58.0,75.0,70.0,
Males,Less than 15 years,Total,Finland,104.0,96.0,88.0,93.0,87.0,84.0,92.0,
Total,Less than 15 years,Total,Finland,188.0,180.0,170.0,168.0,145.0,159.0,162.0,
Females,Total,Total,Finland,26981.0,26768.0,27307.0,26841.0,27511.0,28460.0,31448.0,
Males,Total,Total,Finland,26889.0,26790.0,27118.0,26993.0,27910.0,29070.0,31606.0,
Total,Total,Total,Finland,53870.0,53558.0,54425.0,53834.0,55421.0,57530.0,63054.0,
Females,65 years or over,Use of alcohol,Finland,26.0,25.0,30.0,30.0,33.0,30.0,40.0,
Males,65 years or over,Use of alcohol,Finland,101.0,87.0,120.0,135.0,103.0,122.0,140.0,
Total,65 years or over,Use of alcohol,Finland,127.0,112.0,150.0,165.0,136.0,152.0,180.0,
Females,From 15 to 29 years,Use of alcohol,Finland,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Finland,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
Total,From 15 to 29 years,Use of alcohol,Finland,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
Females,From 30 to 44 years,Use of alcohol,Finland,,,0.0,2.0,0.0,1.0,0.0,
Males,From 30 to 44 years,Use of alcohol,Finland,,,0.0,7.0,8.0,5.0,1.0,
Total,From 30 to 44 years,Use of alcohol,Finland,,,0.0,9.0,8.0,6.0,1.0,
Females,From 45 to 64 years,Use of alcohol,Finland,,,0.0,17.0,9.0,11.0,14.0,
Males,From 45 to 64 years,Use of alcohol,Finland,,,0.0,64.0,57.0,57.0,52.0,
Total,From 45 to 64 years,Use of alcohol,Finland,,,0.0,81.0,66.0,68.0,66.0,
Females,Less than 15 years,Use of alcohol,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Finland,42.0,46.0,50.0,50.0,42.0,42.0,54.0,
Males,Total,Use of alcohol,Finland,182.0,166.0,190.0,206.0,168.0,185.0,193.0,
Total,Total,Use of alcohol,Finland,224.0,212.0,240.0,256.0,210.0,227.0,247.0,
Females,65 years or over,Drug dependence,France,4.0,0.0,5.0,2.0,3.0,4.0,6.0,
Males,65 years or over,Drug dependence,France,5.0,4.0,5.0,5.0,5.0,7.0,14.0,
Total,65 years or over,Drug dependence,France,9.0,4.0,10.0,7.0,8.0,11.0,20.0,
Females,From 15 to 29 years,Drug dependence,France,4.0,4.0,5.0,1.0,3.0,3.0,5.0,
Males,From 15 to 29 years,Drug dependence,France,15.0,12.0,16.0,15.0,23.0,23.0,16.0,
Total,From 15 to 29 years,Drug dependence,France,19.0,16.0,21.0,16.0,26.0,26.0,21.0,
Females,From 30 to 44 years,Drug dependence,France,,,16.0,19.0,23.0,15.0,26.0,
Males,From 30 to 44 years,Drug dependence,France,,,80.0,110.0,74.0,89.0,80.0,
Total,From 30 to 44 years,Drug dependence,France,,,96.0,129.0,97.0,104.0,106.0,
Females,From 45 to 64 years,Drug dependence,France,,,14.0,12.0,15.0,14.0,18.0,
Males,From 45 to 64 years,Drug dependence,France,,,80.0,81.0,85.0,105.0,120.0,
Total,From 45 to 64 years,Drug dependence,France,,,94.0,93.0,100.0,119.0,138.0,
Females,Less than 15 years,Drug dependence,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,France,38.0,32.0,40.0,34.0,44.0,36.0,55.0,
Males,Total,Drug dependence,France,192.0,160.0,181.0,211.0,187.0,224.0,230.0,
Total,Total,Drug dependence,France,230.0,192.0,221.0,245.0,231.0,260.0,285.0,
Females,65 years or over,Intentional self-harm,France,680.0,730.0,716.0,743.0,790.0,773.0,786.0,
Males,65 years or over,Intentional self-harm,France,2043.0,1977.0,2177.0,2139.0,2247.0,2340.0,2426.0,
Total,65 years or over,Intentional self-harm,France,2723.0,2707.0,2893.0,2882.0,3037.0,3113.0,3212.0,
Females,From 15 to 29 years,Intentional self-harm,France,178.0,170.0,202.0,188.0,194.0,236.0,229.0,
Males,From 15 to 29 years,Intentional self-harm,France,558.0,474.0,569.0,588.0,599.0,603.0,591.0,
Total,From 15 to 29 years,Intentional self-harm,France,736.0,644.0,771.0,776.0,793.0,839.0,820.0,
Females,From 30 to 44 years,Intentional self-harm,France,,,385.0,328.0,321.0,327.0,355.0,
Males,From 30 to 44 years,Intentional self-harm,France,,,1337.0,1331.0,1320.0,1290.0,1381.0,
Total,From 30 to 44 years,Intentional self-harm,France,,,1722.0,1659.0,1641.0,1617.0,1736.0,
Females,From 45 to 64 years,Intentional self-harm,France,,,885.0,899.0,945.0,857.0,888.0,
Males,From 45 to 64 years,Intentional self-harm,France,,,2607.0,2620.0,2581.0,2521.0,2540.0,
Total,From 45 to 64 years,Intentional self-harm,France,,,3492.0,3519.0,3526.0,3378.0,3428.0,
Females,Less than 15 years,Intentional self-harm,France,13.0,9.0,16.0,17.0,7.0,17.0,23.0,
Males,Less than 15 years,Intentional self-harm,France,14.0,16.0,20.0,8.0,23.0,23.0,18.0,
Total,Less than 15 years,Intentional self-harm,France,27.0,25.0,36.0,25.0,30.0,40.0,41.0,
Females,Total,Intentional self-harm,France,2020.0,2091.0,2204.0,2175.0,2257.0,2210.0,2281.0,
Males,Total,Intentional self-harm,France,6583.0,6298.0,6710.0,6686.0,6770.0,6777.0,6956.0,
Total,Total,Intentional self-harm,France,8603.0,8389.0,8914.0,8861.0,9027.0,8987.0,9237.0,
Females,65 years or over,Mental and behavioural disorders,France,16632.0,16738.0,17986.0,18004.0,16831.0,15657.0,16693.0,0.0
Males,65 years or over,Mental and behavioural disorders,France,8992.0,9077.0,9761.0,9795.0,8839.0,8442.0,8977.0,0.0
Total,65 years or over,Mental and behavioural disorders,France,25624.0,25815.0,27747.0,27799.0,25670.0,24099.0,25670.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,France,50.0,34.0,32.0,44.0,35.0,27.0,29.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,France,49.0,55.0,77.0,59.0,71.0,76.0,65.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,France,99.0,89.0,109.0,103.0,106.0,103.0,94.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,France,0.0,0.0,135.0,135.0,149.0,127.0,160.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,France,0.0,0.0,555.0,481.0,461.0,475.0,507.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,France,0.0,0.0,690.0,616.0,610.0,602.0,667.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,France,0.0,0.0,917.0,894.0,727.0,869.0,967.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,France,0.0,0.0,2383.0,2385.0,2378.0,2489.0,2530.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,France,0.0,0.0,3300.0,3279.0,3105.0,3358.0,3497.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,France,4.0,6.0,4.0,8.0,2.0,2.0,6.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,France,2.0,2.0,6.0,6.0,4.0,4.0,2.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,France,6.0,8.0,10.0,14.0,6.0,6.0,8.0,0.0
Females,Total,Mental and behavioural disorders,France,17704.0,17708.0,19074.0,19085.0,17744.0,16682.0,17855.0,0.0
Males,Total,Mental and behavioural disorders,France,11779.0,11861.0,12782.0,12726.0,11753.0,11486.0,12081.0,0.0
Total,Total,Mental and behavioural disorders,France,29483.0,29569.0,31856.0,31811.0,29497.0,28168.0,29936.0,0.0
Females,65 years or over,Total,France,262196.0,270565.0,271391.0,274340.0,299561.0,293490.0,304305.0,
Males,65 years or over,Total,France,228522.0,234213.0,237601.0,240394.0,269191.0,266971.0,270450.0,
Total,65 years or over,Total,France,490718.0,504778.0,508992.0,514734.0,568752.0,560461.0,574755.0,
Females,From 15 to 29 years,Total,France,1272.0,1198.0,1180.0,1170.0,1143.0,1187.0,1320.0,
Males,From 15 to 29 years,Total,France,3224.0,3169.0,3135.0,3164.0,3055.0,3129.0,3249.0,
Total,From 15 to 29 years,Total,France,4496.0,4367.0,4315.0,4334.0,4198.0,4316.0,4569.0,
Females,From 30 to 44 years,Total,France,,,3911.0,3775.0,3737.0,3765.0,3926.0,
Males,From 30 to 44 years,Total,France,,,7845.0,7682.0,7669.0,8019.0,8226.0,
Total,From 30 to 44 years,Total,France,,,11756.0,11457.0,11406.0,11784.0,12152.0,
Females,From 45 to 64 years,Total,France,,,27724.0,27484.0,27883.0,27879.0,27448.0,
Males,From 45 to 64 years,Total,France,,,52945.0,51513.0,53141.0,53376.0,52314.0,
Total,From 45 to 64 years,Total,France,,,80669.0,78997.0,81024.0,81255.0,79762.0,
Females,Less than 15 years,Total,France,1856.0,1858.0,1811.0,1724.0,1642.0,1688.0,1850.0,
Males,Less than 15 years,Total,France,2303.0,2298.0,2302.0,2355.0,2085.0,2187.0,2325.0,
Total,Less than 15 years,Total,France,4159.0,4156.0,4113.0,4079.0,3727.0,3875.0,4175.0,
Females,Total,Total,France,296856.0,305360.0,306017.0,308493.0,333966.0,328009.0,338849.0,
Males,Total,Total,France,296867.0,300994.0,303828.0,305108.0,335141.0,333682.0,336564.0,
Total,Total,Total,France,593723.0,606354.0,609845.0,613601.0,669107.0,661691.0,675413.0,
Females,65 years or over,Use of alcohol,France,249.0,221.0,267.0,238.0,198.0,233.0,275.0,
Males,65 years or over,Use of alcohol,France,624.0,627.0,734.0,798.0,691.0,792.0,855.0,
Total,65 years or over,Use of alcohol,France,873.0,848.0,1001.0,1036.0,889.0,1025.0,1130.0,
Females,From 15 to 29 years,Use of alcohol,France,3.0,2.0,3.0,3.0,1.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,France,10.0,11.0,11.0,14.0,10.0,11.0,9.0,
Total,From 15 to 29 years,Use of alcohol,France,13.0,13.0,14.0,17.0,11.0,11.0,9.0,
Females,From 30 to 44 years,Use of alcohol,France,,,29.0,28.0,27.0,26.0,37.0,
Males,From 30 to 44 years,Use of alcohol,France,,,223.0,193.0,203.0,210.0,215.0,
Total,From 30 to 44 years,Use of alcohol,France,,,252.0,221.0,230.0,236.0,252.0,
Females,From 45 to 64 years,Use of alcohol,France,,,250.0,240.0,197.0,234.0,268.0,
Males,From 45 to 64 years,Use of alcohol,France,,,1172.0,1165.0,1148.0,1192.0,1202.0,
Total,From 45 to 64 years,Use of alcohol,France,,,1422.0,1405.0,1345.0,1426.0,1470.0,
Females,Less than 15 years,Use of alcohol,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
