age,sex,level,country,2016,2017,2018,2019,2020,2021,2022
19 years,Females,Master's or equivalent level - professional,Serbia,,,,0.0,0.0,4.0,0.0
19 years,Females,Master's or equivalent level - professional,Sweden,,,,,,,
19 years,Females,Master's or equivalent level - professional,Slovenia,0.0,,,,,,
19 years,Females,Master's or equivalent level - professional,Slovakia,,,,,,,
19 years,Females,Master's or equivalent level - professional,Turkey,,,,,,,
19 years,Females,Master's or equivalent level - professional,United Kingdom,,,,,,,
19 years,Females,Doctoral or equivalent level,Albania,,,,,,0.0,0.0
19 years,Females,Doctoral or equivalent level,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Bosnia and Herzegovina,,,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Estonia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,European Union,0.0,0.0,1.0,55.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,France,0.0,0.0,0.0,55.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Montenegro,,,0.0,0.0,0.0,0.0,
19 years,Females,Doctoral or equivalent level,North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,
19 years,Females,Doctoral or equivalent level,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Serbia,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 years,Females,Doctoral or equivalent level,Turkey,0.0,1.0,0.0,0.0,0.0,0.0,5.0
19 years,Females,Doctoral or equivalent level,United Kingdom,2.0,3.0,4.0,3.0,,,
19 years,Males,Short-cycle tertiary education,Albania,,,,,,718.0,450.0
19 years,Males,Short-cycle tertiary education,Austria,5988.0,6074.0,6032.0,5735.0,5852.0,5719.0,5979.0
19 years,Males,Short-cycle tertiary education,Bosnia and Herzegovina,,,,,,,0.0
19 years,Males,Short-cycle tertiary education,Belgium,399.0,441.0,612.0,573.0,1020.0,1282.0,1559.0
19 years,Males,Short-cycle tertiary education,Bulgaria,,,,,,,
19 years,Males,Short-cycle tertiary education,Switzerland,10.0,14.0,14.0,8.0,15.0,23.0,13.0
19 years,Males,Short-cycle tertiary education,Cyprus,160.0,226.0,268.0,304.0,365.0,196.0,203.0
19 years,Males,Short-cycle tertiary education,Czechia,40.0,38.0,40.0,41.0,31.0,41.0,31.0
19 years,Males,Short-cycle tertiary education,Germany,0.0,2.0,0.0,100.0,110.0,103.0,120.0
19 years,Males,Short-cycle tertiary education,Denmark,641.0,539.0,465.0,398.0,384.0,383.0,408.0
19 years,Males,Short-cycle tertiary education,Estonia,,,,,,,
19 years,Males,Short-cycle tertiary education,Greece,,,,,,,
19 years,Males,Short-cycle tertiary education,Spain,21811.0,25724.0,27854.0,31495.0,36145.0,39900.0,43239.0
19 years,Males,Short-cycle tertiary education,European Union,117165.0,123088.0,129846.0,138557.0,141679.0,157729.0,162934.0
19 years,Males,Short-cycle tertiary education,Finland,,,,,,,
19 years,Males,Short-cycle tertiary education,France,83338.0,84117.0,88170.0,92731.0,89830.0,101739.0,98672.0
19 years,Males,Short-cycle tertiary education,Croatia,0.0,3.0,0.0,0.0,0.0,0.0,0.0
19 years,Males,Short-cycle tertiary education,Hungary,620.0,582.0,506.0,502.0,580.0,709.0,641.0
19 years,Males,Short-cycle tertiary education,Ireland,682.0,681.0,846.0,699.0,639.0,591.0,452.0
19 years,Males,Short-cycle tertiary education,Iceland,2.0,3.0,3.0,3.0,2.0,3.0,3.0
19 years,Males,Short-cycle tertiary education,Italy,762.0,1134.0,1350.0,1756.0,2082.0,2352.0,6702.0
19 years,Males,Short-cycle tertiary education,Liechtenstein,,,,0.0,0.0,0.0,0.0
19 years,Males,Short-cycle tertiary education,Lithuania,,,,,,,
19 years,Males,Short-cycle tertiary education,Luxembourg,6.0,10.0,5.0,14.0,36.0,25.0,6.0
19 years,Males,Short-cycle tertiary education,Latvia,289.0,294.0,259.0,286.0,272.0,273.0,281.0
19 years,Males,Short-cycle tertiary education,Montenegro,,,,,,,
19 years,Males,Short-cycle tertiary education,North Macedonia,,,,,,,
19 years,Males,Short-cycle tertiary education,Malta,81.0,33.0,46.0,44.0,61.0,37.0,32.0
19 years,Males,Short-cycle tertiary education,Netherlands,174.0,305.0,249.0,345.0,469.0,587.0,624.0
19 years,Males,Short-cycle tertiary education,Norway,82.0,113.0,87.0,61.0,65.0,53.0,31.0
19 years,Males,Short-cycle tertiary education,Poland,1.0,4.0,1.0,1.0,3.0,2.0,5.0
19 years,Males,Short-cycle tertiary education,Portugal,937.0,1608.0,1859.0,2261.0,2416.0,2337.0,2509.0
19 years,Males,Short-cycle tertiary education,Romania,,,,,,,
19 years,Males,Short-cycle tertiary education,Serbia,,,,,,,
19 years,Males,Short-cycle tertiary education,Sweden,419.0,392.0,398.0,448.0,504.0,639.0,654.0
19 years,Males,Short-cycle tertiary education,Slovenia,721.0,785.0,793.0,744.0,808.0,735.0,735.0
19 years,Males,Short-cycle tertiary education,Slovakia,96.0,95.0,93.0,81.0,72.0,79.0,81.0
19 years,Males,Short-cycle tertiary education,Turkey,110598.0,120309.0,91586.0,82174.0,81444.0,85860.0,85478.0
19 years,Males,Short-cycle tertiary education,United Kingdom,12137.0,12084.0,11733.0,11816.0,,,
19 years,Males,Tertiary education (levels 5-8),Albania,,,,,,6036.0,5392.0
19 years,Males,Tertiary education (levels 5-8),Austria,11540.0,11606.0,11380.0,10836.0,10941.0,11120.0,11064.0
19 years,Males,Tertiary education (levels 5-8),Bosnia and Herzegovina,,,2337.0,1739.0,1500.0,1632.0,1392.0
19 years,Males,Tertiary education (levels 5-8),Belgium,28400.0,30113.0,28952.0,28763.0,29610.0,30091.0,30725.0
19 years,Males,Tertiary education (levels 5-8),Bulgaria,13285.0,12347.0,12754.0,13500.0,13075.0,12627.0,12791.0
19 years,Males,Tertiary education (levels 5-8),Switzerland,4105.0,4162.0,4234.0,4198.0,4510.0,4867.0,4947.0
19 years,Males,Tertiary education (levels 5-8),Cyprus,894.0,957.0,1674.0,1768.0,1946.0,1589.0,1596.0
19 years,Males,Tertiary education (levels 5-8),Czechia,8853.0,8862.0,8733.0,8901.0,9887.0,10717.0,10996.0
19 years,Males,Tertiary education (levels 5-8),Germany,76002.0,82185.0,80865.0,82437.0,82556.0,81581.0,78891.0
19 years,Males,Tertiary education (levels 5-8),Denmark,2566.0,2344.0,2070.0,1853.0,1899.0,1915.0,1879.0
19 years,Males,Tertiary education (levels 5-8),Estonia,1389.0,1278.0,1250.0,1368.0,1302.0,1242.0,1249.0
19 years,Males,Tertiary education (levels 5-8),Greece,26612.0,26394.0,28323.0,26845.0,27896.0,28896.0,28704.0
19 years,Males,Tertiary education (levels 5-8),Spain,89319.0,95083.0,97940.0,101998.0,109218.0,113829.0,117952.0
19 years,Males,Tertiary education (levels 5-8),European Union,738613.0,754118.0,771119.0,778642.0,809022.0,822570.0,832706.0
19 years,Males,Tertiary education (levels 5-8),Finland,4887.0,4438.0,4370.0,4152.0,4304.0,5025.0,4888.0
19 years,Males,Tertiary education (levels 5-8),France,189927.0,193803.0,201593.0,207406.0,221112.0,223994.0,226297.0
19 years,Males,Tertiary education (levels 5-8),Croatia,9673.0,9724.0,9143.0,8688.0,8566.0,8559.0,8525.0
19 years,Males,Tertiary education (levels 5-8),Hungary,10240.0,10114.0,9969.0,10427.0,11161.0,11049.0,11262.0
19 years,Males,Tertiary education (levels 5-8),Ireland,15084.0,15456.0,16104.0,15574.0,15493.0,16173.0,16493.0
19 years,Males,Tertiary education (levels 5-8),Iceland,67.0,66.0,75.0,157.0,249.0,335.0,325.0
19 years,Males,Tertiary education (levels 5-8),Italy,82465.0,85044.0,91032.0,92467.0,93844.0,96971.0,101265.0
19 years,Males,Tertiary education (levels 5-8),Liechtenstein,14.0,9.0,9.0,8.0,9.0,8.0,11.0
19 years,Males,Tertiary education (levels 5-8),Lithuania,7258.0,6687.0,6417.0,5680.0,5351.0,5016.0,5251.0
19 years,Males,Tertiary education (levels 5-8),Luxembourg,51.0,84.0,55.0,147.0,198.0,170.0,129.0
19 years,Males,Tertiary education (levels 5-8),Latvia,2620.0,2585.0,2449.0,2933.0,3047.0,2154.0,2994.0
19 years,Males,Tertiary education (levels 5-8),Montenegro,,,1533.0,1506.0,1525.0,1589.0,
19 years,Males,Tertiary education (levels 5-8),North Macedonia,5418.0,4710.0,4452.0,3749.0,4144.0,4194.0,4178.0
19 years,Males,Tertiary education (levels 5-8),Malta,748.0,805.0,782.0,781.0,842.0,768.0,775.0
19 years,Males,Tertiary education (levels 5-8),Netherlands,35594.0,36129.0,38699.0,39854.0,41220.0,43109.0,43011.0
19 years,Males,Tertiary education (levels 5-8),Norway,4852.0,5059.0,4863.0,4574.0,4552.0,5042.0,4748.0
19 years,Males,Tertiary education (levels 5-8),Poland,55309.0,52500.0,49887.0,46416.0,46788.0,44356.0,43912.0
19 years,Males,Tertiary education (levels 5-8),Portugal,17326.0,18252.0,19765.0,21133.0,22017.0,23060.0,24209.0
19 years,Males,Tertiary education (levels 5-8),Romania,30967.0,30169.0,30338.0,28512.0,29596.0,29884.0,29553.0
19 years,Males,Tertiary education (levels 5-8),Serbia,16967.0,15765.0,15189.0,14513.0,13984.0,14902.0,14612.0
19 years,Males,Tertiary education (levels 5-8),Sweden,7537.0,7495.0,7265.0,7011.0,7375.0,8931.0,8677.0
19 years,Males,Tertiary education (levels 5-8),Slovenia,4764.0,4640.0,4621.0,4552.0,4856.0,4764.0,4857.0
19 years,Males,Tertiary education (levels 5-8),Slovakia,5304.0,5024.0,4689.0,4641.0,4922.0,4980.0,4762.0
19 years,Males,Tertiary education (levels 5-8),Turkey,242480.0,261337.0,233471.0,214894.0,208743.0,217900.0,201140.0
19 years,Males,Tertiary education (levels 5-8),United Kingdom,153375.0,157009.0,157482.0,160783.0,,,
19 years,Males,Short-cycle tertiary education - general/academic,Albania,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Austria,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Bosnia and Herzegovina,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Belgium,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Bulgaria,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Switzerland,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Cyprus,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Czechia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Germany,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Denmark,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Estonia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Greece,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Spain,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,European Union,174.0,114.0,111.0,146.0,109.0,116.0,124.0
19 years,Males,Short-cycle tertiary education - general/academic,Finland,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,France,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Croatia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Hungary,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Ireland,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Iceland,1.0,1.0,3.0,0.0,1.0,3.0,1.0
19 years,Males,Short-cycle tertiary education - general/academic,Italy,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Liechtenstein,,,,0.0,0.0,0.0,0.0
19 years,Males,Short-cycle tertiary education - general/academic,Lithuania,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Luxembourg,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Latvia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Montenegro,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,North Macedonia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Malta,29.0,26.0,41.0,36.0,38.0,24.0,26.0
19 years,Males,Short-cycle tertiary education - general/academic,Netherlands,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Norway,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Poland,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Portugal,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Romania,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Serbia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Sweden,145.0,88.0,70.0,110.0,71.0,91.0,97.0
19 years,Males,Short-cycle tertiary education - general/academic,Slovenia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Slovakia,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,Turkey,,,,,,,
19 years,Males,Short-cycle tertiary education - general/academic,United Kingdom,5388.0,4912.0,4390.0,4056.0,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Albania,,,,,,718.0,450.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Austria,5988.0,6074.0,6032.0,5735.0,5852.0,5719.0,5979.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Bosnia and Herzegovina,,,,,,,0.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Belgium,399.0,441.0,612.0,573.0,1020.0,1282.0,1559.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Bulgaria,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Switzerland,10.0,14.0,14.0,8.0,15.0,23.0,13.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Cyprus,160.0,226.0,268.0,304.0,365.0,196.0,203.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Czechia,40.0,38.0,40.0,41.0,31.0,41.0,31.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Germany,0.0,2.0,0.0,100.0,110.0,103.0,120.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Denmark,641.0,539.0,465.0,398.0,384.0,383.0,408.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Estonia,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Greece,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Spain,21811.0,25724.0,27854.0,31495.0,36145.0,39900.0,43239.0
19 years,Males,Short-cycle tertiary education - vocational/professional,European Union,116309.0,122293.0,128889.0,137712.0,140931.0,157022.0,162358.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Finland,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,France,83338.0,84117.0,88170.0,92731.0,89830.0,101739.0,98672.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Croatia,0.0,3.0,0.0,0.0,0.0,0.0,0.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Hungary,620.0,582.0,506.0,502.0,580.0,709.0,641.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Ireland,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Iceland,1.0,2.0,0.0,3.0,1.0,0.0,2.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Italy,762.0,1134.0,1350.0,1756.0,2082.0,2352.0,6702.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Liechtenstein,,,,0.0,0.0,0.0,0.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Lithuania,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Luxembourg,6.0,10.0,5.0,14.0,36.0,25.0,6.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Latvia,289.0,294.0,259.0,286.0,272.0,273.0,281.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Montenegro,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,North Macedonia,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Malta,52.0,7.0,5.0,8.0,23.0,13.0,6.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Netherlands,174.0,305.0,249.0,345.0,469.0,587.0,624.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Norway,82.0,113.0,87.0,61.0,65.0,53.0,31.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Poland,1.0,4.0,1.0,1.0,3.0,2.0,5.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Portugal,937.0,1608.0,1859.0,2261.0,2416.0,2337.0,2509.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Romania,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Serbia,,,,,,,
19 years,Males,Short-cycle tertiary education - vocational/professional,Sweden,274.0,304.0,328.0,337.0,433.0,547.0,557.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Slovenia,721.0,785.0,793.0,744.0,808.0,735.0,735.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Slovakia,96.0,95.0,93.0,81.0,72.0,79.0,81.0
19 years,Males,Short-cycle tertiary education - vocational/professional,Turkey,110598.0,120309.0,91586.0,82174.0,81444.0,85860.0,85478.0
19 years,Males,Short-cycle tertiary education - vocational/professional,United Kingdom,6749.0,7172.0,7343.0,7760.0,,,
19 years,Males,Bachelor's or equivalent level,Albania,,,,,,4764.0,4308.0
19 years,Males,Bachelor's or equivalent level,Austria,4746.0,4795.0,4746.0,4512.0,4534.0,4859.0,4570.0
19 years,Males,Bachelor's or equivalent level,Bosnia and Herzegovina,,,2199.0,1637.0,1412.0,1521.0,1296.0
19 years,Males,Bachelor's or equivalent level,Belgium,27993.0,29642.0,28314.0,28163.0,28517.0,28720.0,29082.0
19 years,Males,Bachelor's or equivalent level,Bulgaria,11624.0,10563.0,10887.0,11605.0,11278.0,10901.0,10976.0
19 years,Males,Bachelor's or equivalent level,Switzerland,4082.0,4141.0,4211.0,4181.0,4480.0,4839.0,4930.0
19 years,Males,Bachelor's or equivalent level,Cyprus,647.0,648.0,1290.0,1319.0,1413.0,1264.0,1209.0
19 years,Males,Bachelor's or equivalent level,Czechia,8075.0,8077.0,7971.0,8101.0,9041.0,9815.0,10093.0
19 years,Males,Bachelor's or equivalent level,Germany,66370.0,71791.0,69909.0,71090.0,71311.0,70309.0,68120.0
19 years,Males,Bachelor's or equivalent level,Denmark,1924.0,1804.0,1605.0,1454.0,1514.0,1532.0,1471.0
19 years,Males,Bachelor's or equivalent level,Estonia,1282.0,1160.0,1139.0,1217.0,1169.0,1125.0,1127.0
19 years,Males,Bachelor's or equivalent level,Greece,26612.0,26394.0,28323.0,26845.0,27896.0,28896.0,28704.0
19 years,Males,Bachelor's or equivalent level,Spain,63255.0,65274.0,66197.0,66549.0,69104.0,70110.0,70749.0
19 years,Males,Bachelor's or equivalent level,European Union,554497.0,564365.0,568747.0,567601.0,589197.0,591679.0,601503.0
19 years,Males,Bachelor's or equivalent level,Finland,4815.0,4348.0,4312.0,4105.0,4267.0,4944.0,4839.0
19 years,Males,Bachelor's or equivalent level,France,86132.0,88750.0,87554.0,88271.0,100614.0,96934.0,103836.0
19 years,Males,Bachelor's or equivalent level,Croatia,8401.0,8475.0,7922.0,7518.0,7244.0,7387.0,7402.0
19 years,Males,Bachelor's or equivalent level,Hungary,8133.0,8028.0,7874.0,8356.0,8973.0,8700.0,8987.0
19 years,Males,Bachelor's or equivalent level,Ireland,14401.0,14773.0,15254.0,14875.0,14854.0,15581.0,16039.0
19 years,Males,Bachelor's or equivalent level,Iceland,63.0,63.0,72.0,153.0,241.0,326.0,320.0
19 years,Males,Bachelor's or equivalent level,Italy,71190.0,73953.0,79965.0,81575.0,82281.0,84736.0,84988.0
19 years,Males,Bachelor's or equivalent level,Liechtenstein,14.0,9.0,9.0,8.0,9.0,8.0,11.0
19 years,Males,Bachelor's or equivalent level,Lithuania,6970.0,6358.0,6108.0,5347.0,5059.0,4711.0,4950.0
19 years,Males,Bachelor's or equivalent level,Luxembourg,45.0,74.0,50.0,133.0,162.0,145.0,123.0
19 years,Males,Bachelor's or equivalent level,Latvia,2229.0,2157.0,2048.0,2513.0,2651.0,1765.0,2561.0
19 years,Males,Bachelor's or equivalent level,Montenegro,,,1500.0,1473.0,1479.0,1549.0,
19 years,Males,Bachelor's or equivalent level,North Macedonia,5418.0,4710.0,4452.0,3749.0,4144.0,4194.0,4178.0
19 years,Males,Bachelor's or equivalent level,Malta,621.0,724.0,684.0,688.0,729.0,658.0,677.0
19 years,Males,Bachelor's or equivalent level,Netherlands,35297.0,35795.0,38339.0,39502.0,40307.0,42076.0,42381.0
19 years,Males,Bachelor's or equivalent level,Norway,4104.0,4331.0,3944.0,3702.0,3703.0,4212.0,3998.0
19 years,Males,Bachelor's or equivalent level,Poland,49587.0,47343.0,44124.0,41019.0,40820.0,38458.0,38119.0
19 years,Males,Bachelor's or equivalent level,Portugal,12383.0,12731.0,13856.0,14645.0,15352.0,16390.0,19884.0
19 years,Males,Bachelor's or equivalent level,Romania,28589.0,28173.0,28184.0,26418.0,27390.0,27798.0,27105.0
19 years,Males,Bachelor's or equivalent level,Serbia,16262.0,15072.0,14566.0,13811.0,13292.0,14160.0,13906.0
19 years,Males,Bachelor's or equivalent level,Sweden,4423.0,4252.0,4116.0,3863.0,4199.0,5336.0,5125.0
19 years,Males,Bachelor's or equivalent level,Slovenia,3843.0,3657.0,3659.0,3624.0,3899.0,3869.0,3933.0
19 years,Males,Bachelor's or equivalent level,Slovakia,4911.0,4626.0,4318.0,4294.0,4619.0,4661.0,4454.0
19 years,Males,Bachelor's or equivalent level,Turkey,124567.0,133174.0,133408.0,123371.0,117572.0,121564.0,104843.0
19 years,Males,Bachelor's or equivalent level,United Kingdom,141176.0,144845.0,145674.0,148882.0,,,
19 years,Males,Bachelor's or equivalent level - academic,Albania,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Austria,,,,4512.0,4534.0,4859.0,4570.0
19 years,Males,Bachelor's or equivalent level - academic,Bosnia and Herzegovina,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Belgium,14369.0,15065.0,14470.0,14717.0,14925.0,15381.0,15389.0
19 years,Males,Bachelor's or equivalent level - academic,Bulgaria,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Switzerland,3942.0,3977.0,4065.0,3998.0,4258.0,4653.0,4715.0
19 years,Males,Bachelor's or equivalent level - academic,Cyprus,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Czechia,7723.0,7727.0,7663.0,7836.0,8739.0,9528.0,9766.0
19 years,Males,Bachelor's or equivalent level - academic,Germany,64802.0,69274.0,68115.0,67324.0,68151.0,67016.0,64512.0
19 years,Males,Bachelor's or equivalent level - academic,Denmark,1381.0,1283.0,1154.0,1038.0,1059.0,1010.0,1014.0
19 years,Males,Bachelor's or equivalent level - academic,Estonia,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Greece,16600.0,16052.0,16641.0,17002.0,20443.0,27173.0,27361.0
19 years,Males,Bachelor's or equivalent level - academic,Spain,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Finland,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,France,77519.0,80366.0,78203.0,78576.0,83511.0,85398.0,83255.0
19 years,Males,Bachelor's or equivalent level - academic,Croatia,5587.0,5522.0,5221.0,5008.0,4522.0,4756.0,4835.0
19 years,Males,Bachelor's or equivalent level - academic,Hungary,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Ireland,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Iceland,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Italy,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Liechtenstein,14.0,9.0,9.0,8.0,9.0,8.0,11.0
19 years,Males,Bachelor's or equivalent level - academic,Lithuania,4298.0,4102.0,3832.0,3378.0,3302.0,3091.0,3187.0
19 years,Males,Bachelor's or equivalent level - academic,Luxembourg,31.0,47.0,35.0,105.0,109.0,100.0,85.0
19 years,Males,Bachelor's or equivalent level - academic,Latvia,1061.0,1025.0,983.0,1158.0,1308.0,901.0,1285.0
19 years,Males,Bachelor's or equivalent level - academic,Montenegro,,,1280.0,1311.0,1307.0,1322.0,
19 years,Males,Bachelor's or equivalent level - academic,North Macedonia,4472.0,4329.0,3683.0,2779.0,3473.0,3604.0,3755.0
19 years,Males,Bachelor's or equivalent level - academic,Malta,,,,,,381.0,421.0
19 years,Males,Bachelor's or equivalent level - academic,Netherlands,,,,16150.0,16416.0,17696.0,18422.0
19 years,Males,Bachelor's or equivalent level - academic,Norway,4104.0,4331.0,3944.0,3702.0,3703.0,4212.0,3998.0
19 years,Males,Bachelor's or equivalent level - academic,Poland,,,,,33200.0,34425.0,34114.0
19 years,Males,Bachelor's or equivalent level - academic,Portugal,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Romania,,,,,,,
19 years,Males,Bachelor's or equivalent level - academic,Serbia,11663.0,10802.0,10576.0,10146.0,9918.0,10528.0,10480.0
19 years,Males,Bachelor's or equivalent level - academic,Sweden,,,,,,,
