,s_adj,unit,na_item,country,year,quarter,value
5048612,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Latvia,2019,Q3,0.5
5048613,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,North Macedonia,2019,Q3,0.3
5048614,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Malta,2019,Q3,1.2
5048615,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Netherlands,2019,Q3,0.5
5048616,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Norway,2019,Q3,0.6
5048617,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Poland,2019,Q3,0.8
5048618,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Portugal,2019,Q3,0.4
5048619,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Romania,2019,Q3,0.4
5048620,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Serbia,2019,Q3,2.2
5048621,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Sweden,2019,Q3,0.0
5048622,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovenia,2019,Q3,1.0
5048623,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2019,Q3,0.4
5048624,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Turkey,2019,Q3,0.5
5076809,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2019,Q4,-3.6
5076810,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2019,Q4,-0.3
5076811,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Belgium,2019,Q4,0.6
5076812,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bulgaria,2019,Q4,0.2
5076813,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Switzerland,2019,Q4,0.5
5076814,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Cyprus,2019,Q4,1.4
5076816,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Germany,2019,Q4,0.0
5076817,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Denmark,2019,Q4,0.4
5076822,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Estonia,2019,Q4,0.7
5076823,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Greece,2019,Q4,-0.1
5076824,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Spain,2019,Q4,0.6
5076826,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Finland,2019,Q4,-0.2
5076827,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,France,2019,Q4,-0.5
5076828,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Croatia,2019,Q4,-0.4
5076829,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Hungary,2019,Q4,0.6
5076830,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Ireland,2019,Q4,2.2
5076831,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Italy,2019,Q4,-0.4
5076832,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Lithuania,2019,Q4,1.5
5076833,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Luxembourg,2019,Q4,0.8
5076834,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Latvia,2019,Q4,-0.6
5076835,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,North Macedonia,2019,Q4,-1.6
5076836,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Malta,2019,Q4,1.4
5076837,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Netherlands,2019,Q4,0.1
5076838,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Norway,2019,Q4,0.8
5076839,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Poland,2019,Q4,0.7
5076840,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Portugal,2019,Q4,0.8
5076841,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Romania,2019,Q4,2.1
5076842,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Serbia,2019,Q4,1.5
5076843,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Sweden,2019,Q4,1.0
5076844,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovenia,2019,Q4,0.3
5076845,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2019,Q4,0.6
5076846,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Turkey,2019,Q4,1.3
5105031,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2020,Q1,-1.9
5105032,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2020,Q1,-2.2
5105033,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Belgium,2020,Q1,-2.6
5105034,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bulgaria,2020,Q1,0.1
5105035,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Switzerland,2020,Q1,-1.5
5105036,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Cyprus,2020,Q1,-0.3
5105038,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Germany,2020,Q1,-2.2
5105039,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Denmark,2020,Q1,-0.8
5105044,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Estonia,2020,Q1,-1.3
5105045,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Greece,2020,Q1,-2.0
5105046,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Spain,2020,Q1,-5.2
5105048,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Finland,2020,Q1,-0.2
5105049,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,France,2020,Q1,-5.1
5105050,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Croatia,2020,Q1,-1.4
5105051,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Hungary,2020,Q1,-0.2
5105052,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Ireland,2020,Q1,3.6
5105053,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Italy,2020,Q1,-5.8
5105054,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Lithuania,2020,Q1,-0.5
5105055,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Luxembourg,2020,Q1,-1.2
5105056,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Latvia,2020,Q1,-0.4
5105057,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,North Macedonia,2020,Q1,-0.5
5105058,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Malta,2020,Q1,1.7
5105059,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Netherlands,2020,Q1,-1.1
5105060,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Norway,2020,Q1,-1.0
5105061,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Poland,2020,Q1,0.6
5105062,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Portugal,2020,Q1,-4.2
5105063,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Romania,2020,Q1,-2.8
5105064,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Serbia,2020,Q1,0.2
5105065,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Sweden,2020,Q1,0.2
5105066,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovenia,2020,Q1,-3.4
5105067,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2020,Q1,-2.3
5105068,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Turkey,2020,Q1,0.2
5133253,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2020,Q2,-4.9
5133254,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2020,Q2,-11.9
5133255,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Belgium,2020,Q2,-10.9
5133256,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bulgaria,2020,Q2,-5.7
5133257,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Switzerland,2020,Q2,-6.5
5133258,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Cyprus,2020,Q2,-12.0
5133260,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Germany,2020,Q2,-8.9
5133261,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Denmark,2020,Q2,-5.9
5133266,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Estonia,2020,Q2,-5.9
5133267,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Greece,2020,Q2,-13.8
5133268,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Spain,2020,Q2,-17.8
5133270,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Finland,2020,Q2,-6.5
5133271,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,France,2020,Q2,-12.3
5133272,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Croatia,2020,Q2,-13.9
5133273,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Hungary,2020,Q2,-14.5
5133274,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Ireland,2020,Q2,-6.6
5133275,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Italy,2020,Q2,-12.3
5133276,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Lithuania,2020,Q2,-5.3
5133277,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Luxembourg,2020,Q2,-6.2
5133278,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Latvia,2020,Q2,-10.2
5133279,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,North Macedonia,2020,Q2,-13.4
5133280,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Malta,2020,Q2,-13.0
5133281,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Netherlands,2020,Q2,-8.3
5133282,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Norway,2020,Q2,-5.2
5133283,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Poland,2020,Q2,-9.0
5133284,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Portugal,2020,Q2,-15.0
5133285,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Romania,2020,Q2,-8.3
5133286,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Serbia,2020,Q2,-10.5
5133287,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Sweden,2020,Q2,-8.2
5133288,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovenia,2020,Q2,-9.0
5133289,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2020,Q2,-7.7
5133290,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Turkey,2020,Q2,-10.7
5161475,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2020,Q3,8.9
5161476,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2020,Q3,11.5
5161477,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Belgium,2020,Q3,11.5
5161478,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bulgaria,2020,Q3,3.1
5161479,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Switzerland,2020,Q3,6.9
5161480,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Cyprus,2020,Q3,6.9
5161482,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Germany,2020,Q3,8.7
5161483,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Denmark,2020,Q3,6.0
5161488,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Estonia,2020,Q3,4.5
5161489,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Greece,2020,Q3,6.1
5161490,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Spain,2020,Q3,15.9
5161492,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Finland,2020,Q3,4.9
5161493,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,France,2020,Q3,15.6
5161494,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Croatia,2020,Q3,5.2
5161495,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Hungary,2020,Q3,11.7
5161496,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Ireland,2020,Q3,11.9
5161497,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Italy,2020,Q3,14.4
5161498,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Lithuania,2020,Q3,6.0
5161499,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Luxembourg,2020,Q3,8.4
5161500,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Latvia,2020,Q3,11.2
5161501,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,North Macedonia,2020,Q3,14.1
5161502,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Malta,2020,Q3,4.5
5161503,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Netherlands,2020,Q3,6.6
5161504,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Norway,2020,Q3,3.6
5161505,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Poland,2020,Q3,6.6
5161506,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Portugal,2020,Q3,14.4
5161507,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Romania,2020,Q3,3.8
5161508,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Serbia,2020,Q3,8.5
5161509,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Sweden,2020,Q3,4.9
5161510,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovenia,2020,Q3,11.4
5161511,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2020,Q3,10.0
5161512,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Turkey,2020,Q3,16.4
5189697,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2020,Q4,1.3
5189698,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2020,Q4,-1.4
5189699,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Belgium,2020,Q4,-0.5
5189700,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bulgaria,2020,Q4,-0.5
5189701,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Switzerland,2020,Q4,0.4
5189702,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Cyprus,2020,Q4,6.0
5189704,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Germany,2020,Q4,1.1
5189705,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Denmark,2020,Q4,0.0
5189710,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Estonia,2020,Q4,1.9
5189711,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Greece,2020,Q4,2.6
5189712,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Spain,2020,Q4,0.7
5189714,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Finland,2020,Q4,1.0
5189715,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,France,2020,Q4,-0.1
5189716,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Croatia,2020,Q4,8.1
5189717,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Hungary,2020,Q4,1.7
5189718,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Ireland,2020,Q4,-2.7
5189719,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Italy,2020,Q4,-0.1
5189720,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Lithuania,2020,Q4,0.4
5189721,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Luxembourg,2020,Q4,-0.6
5189722,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Latvia,2020,Q4,0.6
5189723,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,North Macedonia,2020,Q4,1.8
5189724,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Malta,2020,Q4,4.5
5189725,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Netherlands,2020,Q4,0.4
5189726,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Norway,2020,Q4,0.8
5189727,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Poland,2020,Q4,0.1
5189728,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Portugal,2020,Q4,0.2
5189729,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Romania,2020,Q4,5.3
5189730,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Serbia,2020,Q4,1.7
5189731,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Sweden,2020,Q4,2.1
5189732,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovenia,2020,Q4,-2.3
5189733,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2020,Q4,0.9
5189734,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Turkey,2020,Q4,1.5
5217919,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2021,Q1,3.1
5217920,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2021,Q1,-1.4
5217921,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Belgium,2021,Q1,1.6
5217922,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bulgaria,2021,Q1,5.4
5217923,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Switzerland,2021,Q1,0.4
5217924,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Cyprus,2021,Q1,3.6
5217926,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Germany,2021,Q1,-1.1 p
5217927,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Denmark,2021,Q1,0.9
5217932,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Estonia,2021,Q1,3.0
5217933,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Greece,2021,Q1,4.2
5217934,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Spain,2021,Q1,1.2
5217936,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Finland,2021,Q1,-0.8
5217937,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,France,2021,Q1,0.4
5217938,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Croatia,2021,Q1,5.8
5217939,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Hungary,2021,Q1,1.1
5217940,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Ireland,2021,Q1,9.9
5217941,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Italy,2021,Q1,1.6
5217942,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Lithuania,2021,Q1,2.2
5217943,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Luxembourg,2021,Q1,3.6
5217944,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Latvia,2021,Q1,-0.2
5217945,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,North Macedonia,2021,Q1,-0.2
5217946,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Malta,2021,Q1,6.5
5217947,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Netherlands,2021,Q1,0.9
5217948,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Norway,2021,Q1,0.5
5217949,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Poland,2021,Q1,2.3
5217950,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Portugal,2021,Q1,-2.8
5217951,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Romania,2021,Q1,1.0
5217952,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Serbia,2021,Q1,2.9
5217953,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Sweden,2021,Q1,2.5
5217954,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovenia,2021,Q1,4.6
5217955,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2021,Q1,1.1
5217956,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Turkey,2021,Q1,2.0
5246141,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2021,Q2,1.6
5246142,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2021,Q2,4.6
5246143,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Belgium,2021,Q2,1.5
5246144,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bulgaria,2021,Q2,1.2
5246145,Seasonally and calendar adjusted data,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Switzerland,2021,Q2,2.5
