unit,sector,cofog99,country,2018,2019,2020,2021,2022
Million euro,Central government,Social protection,Sweden,49846.0,47598.0,49988.0,52809.0,52962.0
Million euro,Central government,Social protection,Slovenia,2614.0,2721.0,3356.0,3327.0,3609.0
Million euro,Central government,Social protection,Slovakia,5041.0,5424.0,6877.0,7757.0,6747.0
Million euro,Central government,Family and children,Belgium,210.0,209.0,209.0,209.0,209.0
Million euro,Central government,Family and children,Bulgaria,463.0,455.0,569.0,465.0,764.0
Million euro,Central government,Family and children,Switzerland,184.0,213.0,251.0,211.0,273.0
Million euro,Central government,Family and children,Cyprus,478.0,477.0,512.0,483.0,362.0
Million euro,Central government,Family and children,Czechia,2808.0,3042.0,3406.0,3424.0,3876.0
Million euro,Central government,Family and children,Denmark,3929.0,3866.0,4173.0,4487.0,4410.0
Million euro,Central government,Family and children,Estonia,581.0,633.0,643.0,653.0,759.0
Million euro,Central government,Family and children,Greece,212.0,237.0,282.0,446.0,564.0
Million euro,Central government,Family and children,Spain,3308.0,4325.0,3628.0,3711.0,4253.0
Million euro,Central government,Family and children,Finland,1619.0,1611.0,1643.0,1628.0,1729.0
Million euro,Central government,Family and children,France,1753.0,1807.0,1775.0,1746.0,1925.0
Million euro,Central government,Family and children,Croatia,578.0,603.0,632.0,660.0,750.0
Million euro,Central government,Family and children,Hungary,1995.0,2086.0,2194.0,2381.0,3151.0
Million euro,Central government,Family and children,Ireland,4150.0,4254.0,3836.0,3718.0,4112.0
Million euro,Central government,Family and children,Iceland,223.0,241.0,251.0,276.0,331.0
Million euro,Central government,Family and children,Italy,6970.0,7870.0,10819.0,8796.0,16035.0
Million euro,Central government,Family and children,Lithuania,270.0,410.0,582.0,566.0,646.0
Million euro,Central government,Family and children,Luxembourg,1867.0,1950.0,2038.0,2113.0,2326.0
Million euro,Central government,Family and children,Latvia,340.0,353.0,370.0,474.0,480.0
Million euro,Central government,Family and children,Malta,111.0,122.0,135.0,148.0,172.0
Million euro,Central government,Family and children,Netherlands,8364.0,9354.0,10651.0,11625.0,11414.0
Million euro,Central government,Family and children,Norway,5127.0,5188.0,4988.0,5423.0,5525.0
Million euro,Central government,Family and children,Poland,9015.0,11020.0,13027.0,12876.0,12955.0
Million euro,Central government,Family and children,Portugal,581.0,635.0,572.0,638.0,1325.0
Million euro,Central government,Family and children,Romania,1455.0,2138.0,2394.0,2787.0,3191.0
Million euro,Central government,Family and children,Sweden,8268.0,8230.0,8360.0,8756.0,8488.0
Million euro,Central government,Family and children,Slovenia,689.0,746.0,805.0,870.0,974.0
Million euro,Central government,Family and children,Slovakia,910.0,1075.0,1189.0,1302.0,1794.0
Million euro,Central government,Unemployment,Belgium,127.0,124.0,160.0,118.0,147.0
Million euro,Central government,Unemployment,Bulgaria,35.0,41.0,49.0,67.0,75.0
Million euro,Central government,Unemployment,Switzerland,456.0,490.0,12174.0,6783.0,1593.0
Million euro,Central government,Unemployment,Cyprus,9.0,6.0,13.0,16.0,34.0
Million euro,Central government,Unemployment,Czechia,300.0,322.0,471.0,418.0,411.0
Million euro,Central government,Unemployment,Denmark,5797.0,4189.0,5085.0,4586.0,3621.0
Million euro,Central government,Unemployment,Estonia,26.0,28.0,41.0,61.0,67.0
Million euro,Central government,Unemployment,Greece,0.0,0.0,0.0,0.0,0.0
Million euro,Central government,Unemployment,Spain,463.0,411.0,352.0,356.0,291.0
Million euro,Central government,Unemployment,Finland,2418.0,2201.0,3078.0,2593.0,2143.0
Million euro,Central government,Unemployment,France,5924.0,5400.0,22623.0,12625.0,5519.0
Million euro,Central government,Unemployment,Croatia,29.0,44.0,34.0,40.0,42.0
Million euro,Central government,Unemployment,Hungary,341.0,373.0,512.0,405.0,406.0
Million euro,Central government,Unemployment,Ireland,2689.0,2456.0,3856.0,2848.0,3329.0
Million euro,Central government,Unemployment,Iceland,118.0,186.0,566.0,563.0,332.0
Million euro,Central government,Unemployment,Italy,7679.0,12029.0,34728.0,25500.0,19561.0
Million euro,Central government,Unemployment,Lithuania,79.0,102.0,432.0,191.0,133.0
Million euro,Central government,Unemployment,Luxembourg,594.0,549.0,1241.0,845.0,705.0
Million euro,Central government,Unemployment,Latvia,0.0,1.0,0.0,181.0,2.0
Million euro,Central government,Unemployment,Malta,31.0,27.0,30.0,18.0,24.0
Million euro,Central government,Unemployment,Netherlands,6673.0,6463.0,6859.0,6814.0,6342.0
Million euro,Central government,Unemployment,Norway,1298.0,1115.0,3920.0,2904.0,1428.0
Million euro,Central government,Unemployment,Poland,8.0,11.0,31.0,22.0,25.0
Million euro,Central government,Unemployment,Portugal,0.0,1.0,1.0,1.0,1.0
Million euro,Central government,Unemployment,Romania,0.0,0.0,0.0,0.0,0.0
Million euro,Central government,Unemployment,Sweden,4470.0,4029.0,5223.0,5741.0,4532.0
Million euro,Central government,Unemployment,Slovenia,193.0,197.0,276.0,221.0,191.0
Million euro,Central government,Unemployment,Slovakia,0.0,0.0,0.0,0.0,157.0
Million euro,Central government,Housing,Belgium,0.0,0.0,0.0,0.0,0.0
Million euro,Central government,Housing,Bulgaria,,,,,
Million euro,Central government,Housing,Switzerland,41.0,53.0,35.0,21.0,24.0
Million euro,Central government,Housing,Cyprus,0.0,0.0,4.0,5.0,12.0
Million euro,Central government,Housing,Czechia,374.0,338.0,325.0,328.0,489.0
Million euro,Central government,Housing,Denmark,1357.0,1269.0,1431.0,1415.0,1445.0
Million euro,Central government,Housing,Estonia,0.0,0.0,0.0,0.0,0.0
Million euro,Central government,Housing,Greece,18.0,13.0,14.0,13.0,32.0
Million euro,Central government,Housing,Spain,94.0,90.0,77.0,78.0,66.0
Million euro,Central government,Housing,Finland,1492.0,1477.0,1582.0,1610.0,1559.0
Million euro,Central government,Housing,France,21144.0,21196.0,21723.0,21741.0,22452.0
Million euro,Central government,Housing,Croatia,5.0,5.0,4.0,4.0,48.0
Million euro,Central government,Housing,Hungary,91.0,98.0,113.0,126.0,130.0
Million euro,Central government,Housing,Ireland,712.0,771.0,1117.0,1008.0,1342.0
Million euro,Central government,Housing,Iceland,71.0,67.0,60.0,64.0,66.0
Million euro,Central government,Housing,Italy,362.0,338.0,615.0,631.0,701.0
Million euro,Central government,Housing,Lithuania,5.0,10.0,16.0,23.0,31.0
Million euro,Central government,Housing,Luxembourg,0.0,0.0,68.0,117.0,105.0
Million euro,Central government,Housing,Latvia,0.0,0.0,0.0,1.0,0.0
Million euro,Central government,Housing,Malta,18.0,19.0,22.0,22.0,26.0
Million euro,Central government,Housing,Netherlands,3510.0,3572.0,4118.0,4562.0,4261.0
Million euro,Central government,Housing,Norway,281.0,305.0,310.0,328.0,462.0
Million euro,Central government,Housing,Poland,5.0,4.0,3.0,4.0,16.0
Million euro,Central government,Housing,Portugal,40.0,42.0,46.0,55.0,57.0
Million euro,Central government,Housing,Romania,7.0,6.0,5.0,105.0,186.0
Million euro,Central government,Housing,Sweden,1336.0,1303.0,1497.0,1538.0,1507.0
Million euro,Central government,Housing,Slovenia,0.0,0.0,0.0,0.0,0.0
Million euro,Central government,Housing,Slovakia,0.0,0.0,0.0,0.0,17.0
Million euro,Central government,Total,Austria,121749.0,123891.0,143430.0,151952.0,162719.0
Million euro,Central government,Total,Belgium,122228.0,126815.0,142190.0,146248.0,151738.0
Million euro,Central government,Total,Bulgaria,13573.0,15090.0,17887.0,21525.0,27106.0
Million euro,Central government,Total,Switzerland,63245.0,66820.0,85624.0,85787.0,83132.0
Million euro,Central government,Total,Cyprus,7624.0,7017.0,7573.0,8123.0,8374.0
Million euro,Central government,Total,Czechia,61384.0,66991.0,75569.0,81964.0,89997.0
Million euro,Central government,Total,Germany,421164.0,435393.0,508327.0,615721.0,626251.0
Million euro,Central government,Total,Denmark,112211.0,112086.0,124146.0,128090.0,125784.0
Million euro,Central government,Total,Euro area - 19 countries  (2015-2022),2513103.0,2568788.0,2953887.0,3222776.0,3353694.0
Million euro,Central government,Total,Euro area – 20 countries (from 2023),2527981.0,2584968.0,2971718.0,3241685.0,3374110.0
Million euro,Central government,Total,Estonia,8845.0,9403.0,10498.0,11465.0,12569.0
Million euro,Central government,Total,Greece,67078.0,64604.0,75845.0,79799.0,83868.0
Million euro,Central government,Total,Spain,230689.0,235507.0,280791.0,307834.0,319132.0
Million euro,Central government,Total,European Union - 27 countries (from 2020),3061160.0,3145018.0,3625057.0,3920910.0,4102592.0
Million euro,Central government,Total,Finland,60561.0,61669.0,69864.0,69665.0,70770.0
Million euro,Central government,Total,France,534935.0,546286.0,590183.0,612426.0,641464.0
Million euro,Central government,Total,Croatia,14878.0,16180.0,17831.0,18909.0,20416.0
Million euro,Central government,Total,Hungary,45414.0,48438.0,53822.0,59464.0,65843.0
Million euro,Central government,Total,Ireland,70077.0,72726.0,85209.0,90425.0,91282.0
Million euro,Central government,Total,Iceland,7130.0,7029.0,7189.0,7967.0,9377.0
Million euro,Central government,Total,Italy,527679.0,527001.0,621932.0,682888.0,720837.0
Million euro,Central government,Total,Lithuania,13771.0,12688.0,16498.0,16335.0,18957.0
Million euro,Central government,Total,Luxembourg,18269.0,19402.0,22117.0,22323.0,24457.0
Million euro,Central government,Total,Latvia,6770.0,7091.0,8028.0,9763.0,9988.0
Million euro,Central government,Total,Malta,4673.0,5079.0,6034.0,6562.0,6842.0
Million euro,Central government,Total,Netherlands,197235.0,210496.0,248157.0,269489.0,279963.0
Million euro,Central government,Total,Norway,145555.0,148968.0,152919.0,162836.0,173445.0
Million euro,Central government,Total,Poland,112353.0,122623.0,158381.0,150025.0,166396.0
Million euro,Central government,Total,Portugal,65013.0,66528.0,73009.0,74242.0,77607.0
Million euro,Central government,Total,Romania,48439.0,55352.0,64926.0,68530.0,81723.0
Million euro,Central government,Total,Sweden,139802.0,139467.0,158605.0,169624.0,171631.0
Million euro,Central government,Total,Slovenia,11747.0,12508.0,15499.0,16428.0,16359.0
Million euro,Central government,Total,Slovakia,22991.0,24679.0,28698.0,31083.0,30513.0
Million euro,State government,Housing and community amenities,Austria,568.0,540.0,446.0,541.0,604.0
Million euro,State government,Housing and community amenities,Belgium,764.0,887.0,999.0,1033.0,1100.0
Million euro,State government,Housing and community amenities,Bulgaria,,,,,
Million euro,State government,Housing and community amenities,Switzerland,171.0,178.0,189.0,204.0,228.0
Million euro,State government,Housing and community amenities,Cyprus,,,,,
Million euro,State government,Housing and community amenities,Czechia,,,,,
Million euro,State government,Housing and community amenities,Germany,4619.0,5345.0,7912.0,6996.0,7113.0
Million euro,State government,Housing and community amenities,Denmark,,,,,
Million euro,State government,Housing and community amenities,Euro area - 19 countries  (2015-2022),7988.0,8785.0,11360.0,10865.0,11233.0
Million euro,State government,Housing and community amenities,Euro area – 20 countries (from 2023),7988.0,8785.0,11360.0,10865.0,11233.0
Million euro,State government,Housing and community amenities,Estonia,,,,,
Million euro,State government,Housing and community amenities,Greece,,,,,
Million euro,State government,Housing and community amenities,Spain,2037.0,2012.0,2002.0,2295.0,2416.0
Million euro,State government,Housing and community amenities,European Union - 27 countries (from 2020),7988.0,8785.0,11360.0,10865.0,11233.0
Million euro,State government,Housing and community amenities,Finland,,,,,
Million euro,State government,Housing and community amenities,France,,,,,
Million euro,State government,Housing and community amenities,Croatia,,,,,
Million euro,State government,Housing and community amenities,Hungary,,,,,
Million euro,State government,Housing and community amenities,Ireland,,,,,
Million euro,State government,Housing and community amenities,Iceland,,,,,
Million euro,State government,Housing and community amenities,Italy,,,,,
Million euro,State government,Housing and community amenities,Lithuania,,,,,
Million euro,State government,Housing and community amenities,Luxembourg,,,,,
Million euro,State government,Housing and community amenities,Latvia,,,,,
Million euro,State government,Housing and community amenities,Malta,,,,,
Million euro,State government,Housing and community amenities,Netherlands,,,,,
Million euro,State government,Housing and community amenities,Norway,,,,,
Million euro,State government,Housing and community amenities,Poland,,,,,
Million euro,State government,Housing and community amenities,Portugal,,,,,
Million euro,State government,Housing and community amenities,Romania,,,,,
Million euro,State government,Housing and community amenities,Sweden,,,,,
Million euro,State government,Housing and community amenities,Slovenia,,,,,
Million euro,State government,Housing and community amenities,Slovakia,,,,,
Million euro,State government,Community development,Belgium,228.0,237.0,252.0,258.0,276.0
Million euro,State government,Community development,Bulgaria,,,,,
Million euro,State government,Community development,Switzerland,132.0,140.0,159.0,160.0,179.0
Million euro,State government,Community development,Cyprus,,,,,
Million euro,State government,Community development,Czechia,,,,,
Million euro,State government,Community development,Denmark,,,,,
Million euro,State government,Community development,Estonia,,,,,
Million euro,State government,Community development,Greece,,,,,
Million euro,State government,Community development,Spain,454.0,203.0,215.0,287.0,308.0
Million euro,State government,Community development,Finland,,,,,
Million euro,State government,Community development,France,,,,,
Million euro,State government,Community development,Croatia,,,,,
Million euro,State government,Community development,Hungary,,,,,
Million euro,State government,Community development,Ireland,,,,,
Million euro,State government,Community development,Iceland,,,,,
Million euro,State government,Community development,Italy,,,,,
Million euro,State government,Community development,Lithuania,,,,,
Million euro,State government,Community development,Luxembourg,,,,,
Million euro,State government,Community development,Latvia,,,,,
Million euro,State government,Community development,Malta,,,,,
Million euro,State government,Community development,Netherlands,,,,,
Million euro,State government,Community development,Norway,,,,,
Million euro,State government,Community development,Poland,,,,,
Million euro,State government,Community development,Portugal,,,,,
Million euro,State government,Community development,Romania,,,,,
Million euro,State government,Community development,Sweden,,,,,
Million euro,State government,Community development,Slovenia,,,,,
Million euro,State government,Community development,Slovakia,,,,,
Million euro,State government,Health,Austria,10966.0,11479.0,12511.0,13672.0,13742.0
Million euro,State government,Health,Belgium,4989.0,4624.0,5655.0,6341.0,6999.0
Million euro,State government,Health,Bulgaria,,,,,
Million euro,State government,Health,Switzerland,11295.0,12003.0,13950.0,14075.0,14890.0
Million euro,State government,Health,Cyprus,,,,,
Million euro,State government,Health,Czechia,,,,,
Million euro,State government,Health,Germany,10204.0,10638.0,29595.0,30200.0,30330.0
Million euro,State government,Health,Denmark,,,,,
Million euro,State government,Health,Euro area - 19 countries  (2015-2022),92883.0,97179.0,127198.0,133159.0,137354.0
Million euro,State government,Health,Euro area – 20 countries (from 2023),92883.0,97179.0,127198.0,133159.0,137354.0
Million euro,State government,Health,Estonia,,,,,
Million euro,State government,Health,Greece,,,,,
Million euro,State government,Health,Spain,66723.0,70438.0,79437.0,82946.0,86282.0
Million euro,State government,Health,European Union - 27 countries (from 2020),92883.0,97179.0,127198.0,133159.0,137354.0
Million euro,State government,Health,Finland,,,,,
Million euro,State government,Health,France,,,,,
Million euro,State government,Health,Croatia,,,,,
Million euro,State government,Health,Hungary,,,,,
Million euro,State government,Health,Ireland,,,,,
Million euro,State government,Health,Iceland,,,,,
Million euro,State government,Health,Italy,,,,,
Million euro,State government,Health,Lithuania,,,,,
Million euro,State government,Health,Luxembourg,,,,,
Million euro,State government,Health,Latvia,,,,,
Million euro,State government,Health,Malta,,,,,
Million euro,State government,Health,Netherlands,,,,,
Million euro,State government,Health,Norway,,,,,
Million euro,State government,Health,Poland,,,,,
Million euro,State government,Health,Portugal,,,,,
Million euro,State government,Health,Romania,,,,,
Million euro,State government,Health,Sweden,,,,,
Million euro,State government,Health,Slovenia,,,,,
Million euro,State government,Health,Slovakia,,,,,
Million euro,State government,"Medical products, appliances and equipment",Belgium,63.0,57.0,56.0,50.0,69.0
Million euro,State government,"Medical products, appliances and equipment",Bulgaria,,,,,
Million euro,State government,"Medical products, appliances and equipment",Switzerland,0.0,0.0,0.0,0.0,0.0
Million euro,State government,"Medical products, appliances and equipment",Cyprus,,,,,
Million euro,State government,"Medical products, appliances and equipment",Czechia,,,,,
Million euro,State government,"Medical products, appliances and equipment",Denmark,,,,,
Million euro,State government,"Medical products, appliances and equipment",Estonia,,,,,
Million euro,State government,"Medical products, appliances and equipment",Greece,,,,,
Million euro,State government,"Medical products, appliances and equipment",Spain,11020.0,11285.0,11660.0,12493.0,13096.0
Million euro,State government,"Medical products, appliances and equipment",Finland,,,,,
Million euro,State government,"Medical products, appliances and equipment",France,,,,,
Million euro,State government,"Medical products, appliances and equipment",Croatia,,,,,
Million euro,State government,"Medical products, appliances and equipment",Hungary,,,,,
Million euro,State government,"Medical products, appliances and equipment",Ireland,,,,,
Million euro,State government,"Medical products, appliances and equipment",Iceland,,,,,
Million euro,State government,"Medical products, appliances and equipment",Italy,,,,,
Million euro,State government,"Medical products, appliances and equipment",Lithuania,,,,,
Million euro,State government,"Medical products, appliances and equipment",Luxembourg,,,,,
Million euro,State government,"Medical products, appliances and equipment",Latvia,,,,,
Million euro,State government,"Medical products, appliances and equipment",Malta,,,,,
Million euro,State government,"Medical products, appliances and equipment",Netherlands,,,,,
Million euro,State government,"Medical products, appliances and equipment",Norway,,,,,
Million euro,State government,"Medical products, appliances and equipment",Poland,,,,,
Million euro,State government,"Medical products, appliances and equipment",Portugal,,,,,
Million euro,State government,"Medical products, appliances and equipment",Romania,,,,,
Million euro,State government,"Medical products, appliances and equipment",Sweden,,,,,
Million euro,State government,"Medical products, appliances and equipment",Slovenia,,,,,
Million euro,State government,"Medical products, appliances and equipment",Slovakia,,,,,
Million euro,State government,Outpatient services,Belgium,54.0,55.0,69.0,51.0,163.0
Million euro,State government,Outpatient services,Bulgaria,,,,,
Million euro,State government,Outpatient services,Switzerland,669.0,720.0,848.0,861.0,970.0
Million euro,State government,Outpatient services,Cyprus,,,,,
Million euro,State government,Outpatient services,Czechia,,,,,
Million euro,State government,Outpatient services,Denmark,,,,,
Million euro,State government,Outpatient services,Estonia,,,,,
Million euro,State government,Outpatient services,Greece,,,,,
Million euro,State government,Outpatient services,Spain,24119.0,25720.0,28830.0,29924.0,31328.0
Million euro,State government,Outpatient services,Finland,,,,,
Million euro,State government,Outpatient services,France,,,,,
Million euro,State government,Outpatient services,Croatia,,,,,
Million euro,State government,Outpatient services,Hungary,,,,,
Million euro,State government,Outpatient services,Ireland,,,,,
Million euro,State government,Outpatient services,Iceland,,,,,
Million euro,State government,Outpatient services,Italy,,,,,
Million euro,State government,Outpatient services,Lithuania,,,,,
Million euro,State government,Outpatient services,Luxembourg,,,,,
Million euro,State government,Outpatient services,Latvia,,,,,
Million euro,State government,Outpatient services,Malta,,,,,
Million euro,State government,Outpatient services,Netherlands,,,,,
Million euro,State government,Outpatient services,Norway,,,,,
Million euro,State government,Outpatient services,Poland,,,,,
Million euro,State government,Outpatient services,Portugal,,,,,
Million euro,State government,Outpatient services,Romania,,,,,
Million euro,State government,Outpatient services,Sweden,,,,,
Million euro,State government,Outpatient services,Slovenia,,,,,
Million euro,State government,Outpatient services,Slovakia,,,,,
Million euro,State government,Hospital services,Belgium,4243.0,3857.0,4759.0,4992.0,5729.0
Million euro,State government,Hospital services,Bulgaria,,,,,
Million euro,State government,Hospital services,Switzerland,9529.0,10068.0,11604.0,11111.0,12075.0
Million euro,State government,Hospital services,Cyprus,,,,,
Million euro,State government,Hospital services,Czechia,,,,,
Million euro,State government,Hospital services,Denmark,,,,,
Million euro,State government,Hospital services,Estonia,,,,,
Million euro,State government,Hospital services,Greece,,,,,
Million euro,State government,Hospital services,Spain,27963.0,29597.0,34916.0,35023.0,36842.0
Million euro,State government,Hospital services,Finland,,,,,
Million euro,State government,Hospital services,France,,,,,
Million euro,State government,Hospital services,Croatia,,,,,
Million euro,State government,Hospital services,Hungary,,,,,
Million euro,State government,Hospital services,Ireland,,,,,
Million euro,State government,Hospital services,Iceland,,,,,
Million euro,State government,Hospital services,Italy,,,,,
Million euro,State government,Hospital services,Lithuania,,,,,
Million euro,State government,Hospital services,Luxembourg,,,,,
Million euro,State government,Hospital services,Latvia,,,,,
Million euro,State government,Hospital services,Malta,,,,,
Million euro,State government,Hospital services,Netherlands,,,,,
Million euro,State government,Hospital services,Norway,,,,,
Million euro,State government,Hospital services,Poland,,,,,
Million euro,State government,Hospital services,Portugal,,,,,
Million euro,State government,Hospital services,Romania,,,,,
Million euro,State government,Hospital services,Sweden,,,,,
Million euro,State government,Hospital services,Slovenia,,,,,
Million euro,State government,Hospital services,Slovakia,,,,,
Million euro,State government,Public health services,Belgium,309.0,309.0,407.0,888.0,679.0
Million euro,State government,Public health services,Bulgaria,,,,,
Million euro,State government,Public health services,Switzerland,361.0,396.0,700.0,1278.0,900.0
Million euro,State government,Public health services,Cyprus,,,,,
Million euro,State government,Public health services,Czechia,,,,,
Million euro,State government,Public health services,Denmark,,,,,
Million euro,State government,Public health services,Estonia,,,,,
Million euro,State government,Public health services,Greece,,,,,
Million euro,State government,Public health services,Spain,719.0,752.0,832.0,2110.0,1450.0
Million euro,State government,Public health services,Finland,,,,,
Million euro,State government,Public health services,France,,,,,
Million euro,State government,Public health services,Croatia,,,,,
Million euro,State government,Public health services,Hungary,,,,,
Million euro,State government,Public health services,Ireland,,,,,
Million euro,State government,Public health services,Iceland,,,,,
Million euro,State government,Public health services,Italy,,,,,
Million euro,State government,Public health services,Lithuania,,,,,
Million euro,State government,Public health services,Luxembourg,,,,,
Million euro,State government,Public health services,Latvia,,,,,
Million euro,State government,Public health services,Malta,,,,,
Million euro,State government,Public health services,Netherlands,,,,,
Million euro,State government,Public health services,Norway,,,,,
Million euro,State government,Public health services,Poland,,,,,
Million euro,State government,Public health services,Portugal,,,,,
Million euro,State government,Public health services,Romania,,,,,
Million euro,State government,Public health services,Sweden,,,,,
Million euro,State government,Public health services,Slovenia,,,,,
Million euro,State government,Public health services,Slovakia,,,,,
Million euro,State government,"Recreation, culture and religion",Austria,642.0,661.0,613.0,666.0,746.0
Million euro,State government,"Recreation, culture and religion",Belgium,2518.0,2564.0,2544.0,2616.0,2976.0
Million euro,State government,"Recreation, culture and religion",Bulgaria,,,,,
Million euro,State government,"Recreation, culture and religion",Switzerland,1610.0,1682.0,2008.0,1978.0,2018.0
Million euro,State government,"Recreation, culture and religion",Cyprus,,,,,
Million euro,State government,"Recreation, culture and religion",Czechia,,,,,
Million euro,State government,"Recreation, culture and religion",Germany,17455.0,18525.0,18514.0,19171.0,19710.0
Million euro,State government,"Recreation, culture and religion",Denmark,,,,,
Million euro,State government,"Recreation, culture and religion",Euro area - 19 countries  (2015-2022),23718.0,25043.0,24905.0,25931.0,27268.0
Million euro,State government,"Recreation, culture and religion",Euro area – 20 countries (from 2023),23718.0,25043.0,24905.0,25931.0,27268.0
Million euro,State government,"Recreation, culture and religion",Estonia,,,,,
Million euro,State government,"Recreation, culture and religion",Greece,,,,,
Million euro,State government,"Recreation, culture and religion",Spain,3103.0,3293.0,3234.0,3477.0,3835.0
Million euro,State government,"Recreation, culture and religion",European Union - 27 countries (from 2020),23718.0,25043.0,24905.0,25931.0,27268.0
Million euro,State government,"Recreation, culture and religion",Finland,,,,,
Million euro,State government,"Recreation, culture and religion",France,,,,,
Million euro,State government,"Recreation, culture and religion",Croatia,,,,,
Million euro,State government,"Recreation, culture and religion",Hungary,,,,,
Million euro,State government,"Recreation, culture and religion",Ireland,,,,,
Million euro,State government,"Recreation, culture and religion",Iceland,,,,,
Million euro,State government,"Recreation, culture and religion",Italy,,,,,
Million euro,State government,"Recreation, culture and religion",Lithuania,,,,,
Million euro,State government,"Recreation, culture and religion",Luxembourg,,,,,
Million euro,State government,"Recreation, culture and religion",Latvia,,,,,
Million euro,State government,"Recreation, culture and religion",Malta,,,,,
Million euro,State government,"Recreation, culture and religion",Netherlands,,,,,
Million euro,State government,"Recreation, culture and religion",Norway,,,,,
Million euro,State government,"Recreation, culture and religion",Poland,,,,,
Million euro,State government,"Recreation, culture and religion",Portugal,,,,,
Million euro,State government,"Recreation, culture and religion",Romania,,,,,
Million euro,State government,"Recreation, culture and religion",Sweden,,,,,
Million euro,State government,"Recreation, culture and religion",Slovenia,,,,,
Million euro,State government,"Recreation, culture and religion",Slovakia,,,,,
Million euro,State government,Recreational and sporting services,Belgium,308.0,327.0,316.0,316.0,410.0
Million euro,State government,Recreational and sporting services,Bulgaria,,,,,
Million euro,State government,Recreational and sporting services,Switzerland,338.0,344.0,335.0,368.0,388.0
Million euro,State government,Recreational and sporting services,Cyprus,,,,,
Million euro,State government,Recreational and sporting services,Czechia,,,,,
Million euro,State government,Recreational and sporting services,Denmark,,,,,
Million euro,State government,Recreational and sporting services,Estonia,,,,,
Million euro,State government,Recreational and sporting services,Greece,,,,,
Million euro,State government,Recreational and sporting services,Spain,338.0,356.0,366.0,395.0,426.0
Million euro,State government,Recreational and sporting services,Finland,,,,,
Million euro,State government,Recreational and sporting services,France,,,,,
Million euro,State government,Recreational and sporting services,Croatia,,,,,
Million euro,State government,Recreational and sporting services,Hungary,,,,,
Million euro,State government,Recreational and sporting services,Ireland,,,,,
Million euro,State government,Recreational and sporting services,Iceland,,,,,
Million euro,State government,Recreational and sporting services,Italy,,,,,
Million euro,State government,Recreational and sporting services,Lithuania,,,,,
Million euro,State government,Recreational and sporting services,Luxembourg,,,,,
Million euro,State government,Recreational and sporting services,Latvia,,,,,
Million euro,State government,Recreational and sporting services,Malta,,,,,
Million euro,State government,Recreational and sporting services,Netherlands,,,,,
Million euro,State government,Recreational and sporting services,Norway,,,,,
Million euro,State government,Recreational and sporting services,Poland,,,,,
Million euro,State government,Recreational and sporting services,Portugal,,,,,
Million euro,State government,Recreational and sporting services,Romania,,,,,
Million euro,State government,Recreational and sporting services,Sweden,,,,,
Million euro,State government,Recreational and sporting services,Slovenia,,,,,
Million euro,State government,Recreational and sporting services,Slovakia,,,,,
Million euro,State government,Cultural services,Belgium,1024.0,1044.0,1009.0,1087.0,1256.0
Million euro,State government,Cultural services,Bulgaria,,,,,
Million euro,State government,Cultural services,Switzerland,1055.0,1109.0,1432.0,1375.0,1373.0
Million euro,State government,Cultural services,Cyprus,,,,,
Million euro,State government,Cultural services,Czechia,,,,,
Million euro,State government,Cultural services,Denmark,,,,,
Million euro,State government,Cultural services,Estonia,,,,,
Million euro,State government,Cultural services,Greece,,,,,
Million euro,State government,Cultural services,Spain,1124.0,1236.0,1191.0,1243.0,1362.0
Million euro,State government,Cultural services,Finland,,,,,
Million euro,State government,Cultural services,France,,,,,
Million euro,State government,Cultural services,Croatia,,,,,
Million euro,State government,Cultural services,Hungary,,,,,
Million euro,State government,Cultural services,Ireland,,,,,
Million euro,State government,Cultural services,Iceland,,,,,
Million euro,State government,Cultural services,Italy,,,,,
Million euro,State government,Cultural services,Lithuania,,,,,
Million euro,State government,Cultural services,Luxembourg,,,,,
Million euro,State government,Cultural services,Latvia,,,,,
Million euro,State government,Cultural services,Malta,,,,,
Million euro,State government,Cultural services,Netherlands,,,,,
Million euro,State government,Cultural services,Norway,,,,,
Million euro,State government,Cultural services,Poland,,,,,
Million euro,State government,Cultural services,Portugal,,,,,
Million euro,State government,Cultural services,Romania,,,,,
Million euro,State government,Cultural services,Sweden,,,,,
Million euro,State government,Cultural services,Slovenia,,,,,
Million euro,State government,Cultural services,Slovakia,,,,,
Million euro,State government,Broadcasting and publishing services,Belgium,929.0,925.0,890.0,956.0,1029.0
Million euro,State government,Broadcasting and publishing services,Bulgaria,,,,,
Million euro,State government,Broadcasting and publishing services,Switzerland,1.0,1.0,2.0,1.0,1.0
Million euro,State government,Broadcasting and publishing services,Cyprus,,,,,
Million euro,State government,Broadcasting and publishing services,Czechia,,,,,
Million euro,State government,Broadcasting and publishing services,Denmark,,,,,
Million euro,State government,Broadcasting and publishing services,Estonia,,,,,
Million euro,State government,Broadcasting and publishing services,Greece,,,,,
Million euro,State government,Broadcasting and publishing services,Spain,1228.0,1269.0,1234.0,1283.0,1412.0
Million euro,State government,Broadcasting and publishing services,Finland,,,,,
Million euro,State government,Broadcasting and publishing services,France,,,,,
Million euro,State government,Broadcasting and publishing services,Croatia,,,,,
Million euro,State government,Broadcasting and publishing services,Hungary,,,,,
Million euro,State government,Broadcasting and publishing services,Ireland,,,,,
Million euro,State government,Broadcasting and publishing services,Iceland,,,,,
Million euro,State government,Broadcasting and publishing services,Italy,,,,,
