,coicop,country,year,month,value
4903415,"Alcoholic beverages, tobacco and narcotics",Albania,2020,02,1.1 d
4903416,"Alcoholic beverages, tobacco and narcotics",Austria,2020,02,1.7
4903417,"Alcoholic beverages, tobacco and narcotics",Belgium,2020,02,3.2
4903418,"Alcoholic beverages, tobacco and narcotics",Bulgaria,2020,02,2.4
4903419,"Alcoholic beverages, tobacco and narcotics",Switzerland,2020,02,0.5
4903420,"Alcoholic beverages, tobacco and narcotics",Cyprus,2020,02,-0.1
4903422,"Alcoholic beverages, tobacco and narcotics",Germany,2020,02,2.6
4903423,"Alcoholic beverages, tobacco and narcotics",Denmark,2020,02,-0.9
4903427,"Alcoholic beverages, tobacco and narcotics",Estonia,2020,02,-2.2
4903429,"Alcoholic beverages, tobacco and narcotics",Greece,2020,02,-0.2
4903430,"Alcoholic beverages, tobacco and narcotics",Spain,2020,02,0.6
4903434,"Alcoholic beverages, tobacco and narcotics",Finland,2020,02,3.5
4903435,"Alcoholic beverages, tobacco and narcotics",France,2020,02,8.3
4903436,"Alcoholic beverages, tobacco and narcotics",Croatia,2020,02,1.3
4903437,"Alcoholic beverages, tobacco and narcotics",Hungary,2020,02,7.3
4903438,"Alcoholic beverages, tobacco and narcotics",Ireland,2020,02,3.2
4903439,"Alcoholic beverages, tobacco and narcotics",Iceland,2020,02,2.9
4903440,"Alcoholic beverages, tobacco and narcotics",Italy,2020,02,1.1
4903441,"Alcoholic beverages, tobacco and narcotics",Lithuania,2020,02,3.2
4903442,"Alcoholic beverages, tobacco and narcotics",Luxembourg,2020,02,1.7
4903443,"Alcoholic beverages, tobacco and narcotics",Latvia,2020,02,1.6
4903444,"Alcoholic beverages, tobacco and narcotics",Montenegro,2020,02,2.5 d
4903445,"Alcoholic beverages, tobacco and narcotics",North Macedonia,2020,02,4.8 d
4903446,"Alcoholic beverages, tobacco and narcotics",Malta,2020,02,0.2
4903447,"Alcoholic beverages, tobacco and narcotics",Netherlands,2020,02,1.3
4903448,"Alcoholic beverages, tobacco and narcotics",Norway,2020,02,2.7
4903449,"Alcoholic beverages, tobacco and narcotics",Poland,2020,02,4.3
4903450,"Alcoholic beverages, tobacco and narcotics",Portugal,2020,02,1.0
4903451,"Alcoholic beverages, tobacco and narcotics",Romania,2020,02,6.2
4903452,"Alcoholic beverages, tobacco and narcotics",Serbia,2020,02,5.5 d
4903453,"Alcoholic beverages, tobacco and narcotics",Sweden,2020,02,1.8
4903454,"Alcoholic beverages, tobacco and narcotics",Slovenia,2020,02,1.8
4903455,"Alcoholic beverages, tobacco and narcotics",Slovakia,2020,02,2.2
4903460,Alcoholic beverages,Albania,2020,02,1.2 d
4903461,Alcoholic beverages,Austria,2020,02,3.8
4903462,Alcoholic beverages,Belgium,2020,02,0.9
4903463,Alcoholic beverages,Bulgaria,2020,02,2.5
4903464,Alcoholic beverages,Switzerland,2020,02,0.3
4903465,Alcoholic beverages,Cyprus,2020,02,-1.3
4903467,Alcoholic beverages,Germany,2020,02,0.5
4903468,Alcoholic beverages,Denmark,2020,02,-3.1
4903472,Alcoholic beverages,Estonia,2020,02,-7.2
4903474,Alcoholic beverages,Greece,2020,02,-0.9
4903475,Alcoholic beverages,Spain,2020,02,1.5
4903479,Alcoholic beverages,Finland,2020,02,0.8
4903480,Alcoholic beverages,France,2020,02,1.9
4903481,Alcoholic beverages,Croatia,2020,02,2.8
4903482,Alcoholic beverages,Hungary,2020,02,1.9
4903483,Alcoholic beverages,Ireland,2020,02,-1.3
4903484,Alcoholic beverages,Iceland,2020,02,2.3
4903485,Alcoholic beverages,Italy,2020,02,0.3
4903486,Alcoholic beverages,Lithuania,2020,02,1.3
4903487,Alcoholic beverages,Luxembourg,2020,02,3.3
4903488,Alcoholic beverages,Latvia,2020,02,0.9
4903489,Alcoholic beverages,Montenegro,2020,02,1.2 d
4903490,Alcoholic beverages,North Macedonia,2020,02,0.5 d
4903491,Alcoholic beverages,Malta,2020,02,0.5
4903492,Alcoholic beverages,Netherlands,2020,02,-0.8
4903493,Alcoholic beverages,Norway,2020,02,2.2
4903494,Alcoholic beverages,Poland,2020,02,3.4
4903495,Alcoholic beverages,Portugal,2020,02,-0.4
4903496,Alcoholic beverages,Romania,2020,02,2.4
4903497,Alcoholic beverages,Serbia,2020,02,2.0 d
4903498,Alcoholic beverages,Sweden,2020,02,1.5
4903499,Alcoholic beverages,Slovenia,2020,02,0.5
4903500,Alcoholic beverages,Slovakia,2020,02,2.1
4908078,Health,Albania,2020,02,0.1 d
4908079,Health,Austria,2020,02,1.8
4908080,Health,Belgium,2020,02,0.6
4908081,Health,Bulgaria,2020,02,2.6
4908082,Health,Switzerland,2020,02,-0.8
4908083,Health,Cyprus,2020,02,-0.2
4908085,Health,Germany,2020,02,1.3
4908086,Health,Denmark,2020,02,2.9
4908090,Health,Estonia,2020,02,3.1
4908092,Health,Greece,2020,02,1.5
4908093,Health,Spain,2020,02,0.3
4908097,Health,Finland,2020,02,-0.6
4908098,Health,France,2020,02,-0.5
4908099,Health,Croatia,2020,02,1.2
4908100,Health,Hungary,2020,02,3.8
4908101,Health,Ireland,2020,02,0.7
4908102,Health,Iceland,2020,02,0.9
4908103,Health,Italy,2020,02,0.4
4908104,Health,Lithuania,2020,02,4.2
4908105,Health,Luxembourg,2020,02,0.9
4908106,Health,Latvia,2020,02,3.6
4908107,Health,Montenegro,2020,02,0.1 d
4908108,Health,North Macedonia,2020,02,0.2 d
4908109,Health,Malta,2020,02,2.0
4908110,Health,Netherlands,2020,02,1.2
4908111,Health,Norway,2020,02,3.7
4908112,Health,Poland,2020,02,3.9
4908113,Health,Portugal,2020,02,0.6
4908114,Health,Romania,2020,02,2.4
4908115,Health,Serbia,2020,02,1.8 d
4908116,Health,Sweden,2020,02,1.6
4908117,Health,Slovenia,2020,02,2.5
4908118,Health,Slovakia,2020,02,1.2
4908123,"Medical products, appliances and equipment",Albania,2020,02,-1.1 d
4908124,"Medical products, appliances and equipment",Austria,2020,02,3.4
4908125,"Medical products, appliances and equipment",Belgium,2020,02,-0.1
4908126,"Medical products, appliances and equipment",Bulgaria,2020,02,3.1
4908127,"Medical products, appliances and equipment",Switzerland,2020,02,-2.3
4908128,"Medical products, appliances and equipment",Cyprus,2020,02,-1.2
4908130,"Medical products, appliances and equipment",Germany,2020,02,0.8
4908131,"Medical products, appliances and equipment",Denmark,2020,02,5.0
4908135,"Medical products, appliances and equipment",Estonia,2020,02,1.6
4908137,"Medical products, appliances and equipment",Greece,2020,02,4.1
4908138,"Medical products, appliances and equipment",Spain,2020,02,-0.2
4908142,"Medical products, appliances and equipment",Finland,2020,02,-4.2
4908143,"Medical products, appliances and equipment",France,2020,02,-0.6
4908144,"Medical products, appliances and equipment",Croatia,2020,02,1.2
4908145,"Medical products, appliances and equipment",Hungary,2020,02,2.4
4908146,"Medical products, appliances and equipment",Ireland,2020,02,0.5
4908147,"Medical products, appliances and equipment",Iceland,2020,02,0.7
4908148,"Medical products, appliances and equipment",Italy,2020,02,0.1
4908149,"Medical products, appliances and equipment",Lithuania,2020,02,3.7
4908150,"Medical products, appliances and equipment",Luxembourg,2020,02,0.1
4908151,"Medical products, appliances and equipment",Latvia,2020,02,1.4
4908152,"Medical products, appliances and equipment",Montenegro,2020,02,0.0 d
4908153,"Medical products, appliances and equipment",North Macedonia,2020,02,0.4 d
4908154,"Medical products, appliances and equipment",Malta,2020,02,0.8
4908155,"Medical products, appliances and equipment",Netherlands,2020,02,0.2
4908156,"Medical products, appliances and equipment",Norway,2020,02,2.6
4908157,"Medical products, appliances and equipment",Poland,2020,02,2.9
4908158,"Medical products, appliances and equipment",Portugal,2020,02,1.2
4908159,"Medical products, appliances and equipment",Romania,2020,02,1.8
4908160,"Medical products, appliances and equipment",Serbia,2020,02,1.1 d
4908161,"Medical products, appliances and equipment",Sweden,2020,02,0.2
4908162,"Medical products, appliances and equipment",Slovenia,2020,02,-0.3
4908163,"Medical products, appliances and equipment",Slovakia,2020,02,1.2
4908954,Transport,Albania,2020,02,3.1 d
4908955,Transport,Austria,2020,02,1.9
4908956,Transport,Belgium,2020,02,1.7
4908957,Transport,Bulgaria,2020,02,2.6
4908958,Transport,Switzerland,2020,02,-0.1
4908959,Transport,Cyprus,2020,02,2.7
4908961,Transport,Germany,2020,02,2.0
4908962,Transport,Denmark,2020,02,1.5
4908966,Transport,Estonia,2020,02,3.4
4908968,Transport,Greece,2020,02,2.9
4908969,Transport,Spain,2020,02,1.9
4908973,Transport,Finland,2020,02,1.4
4908974,Transport,France,2020,02,1.2
4908975,Transport,Croatia,2020,02,0.8
4908976,Transport,Hungary,2020,02,4.4
4908977,Transport,Ireland,2020,02,3.1
4908978,Transport,Iceland,2020,02,4.4
4908979,Transport,Italy,2020,02,1.6
4908980,Transport,Lithuania,2020,02,5.1
4908981,Transport,Luxembourg,2020,02,3.0
4908982,Transport,Latvia,2020,02,2.6
4908983,Transport,Montenegro,2020,02,1.3 d
4908984,Transport,North Macedonia,2020,02,2.2 d
4908985,Transport,Malta,2020,02,2.5
4908986,Transport,Netherlands,2020,02,2.9
4908987,Transport,Norway,2020,02,2.1
4908988,Transport,Poland,2020,02,1.8
4908989,Transport,Portugal,2020,02,0.9
4908990,Transport,Romania,2020,02,-0.3
4908991,Transport,Serbia,2020,02,0.9 d
4908992,Transport,Sweden,2020,02,3.7
4908993,Transport,Slovenia,2020,02,0.0
4908994,Transport,Slovakia,2020,02,2.9
4909506,Fuels and lubricants for personal transport equipment,Albania,2020,02,0.4 d
4909507,Fuels and lubricants for personal transport equipment,Austria,2020,02,0.4
4909508,Fuels and lubricants for personal transport equipment,Belgium,2020,02,1.0
4909509,Fuels and lubricants for personal transport equipment,Bulgaria,2020,02,6.6
4909510,Fuels and lubricants for personal transport equipment,Switzerland,2020,02,-0.2
4909511,Fuels and lubricants for personal transport equipment,Cyprus,2020,02,7.7
4909513,Fuels and lubricants for personal transport equipment,Germany,2020,02,3.1
4909514,Fuels and lubricants for personal transport equipment,Denmark,2020,02,2.2
4909518,Fuels and lubricants for personal transport equipment,Estonia,2020,02,6.1
4909520,Fuels and lubricants for personal transport equipment,Greece,2020,02,4.9
4909521,Fuels and lubricants for personal transport equipment,Spain,2020,02,2.3
4909525,Fuels and lubricants for personal transport equipment,Finland,2020,02,4.0
4909526,Fuels and lubricants for personal transport equipment,France,2020,02,-0.1
4909527,Fuels and lubricants for personal transport equipment,Croatia,2020,02,2.4
4909528,Fuels and lubricants for personal transport equipment,Hungary,2020,02,7.7
4909529,Fuels and lubricants for personal transport equipment,Ireland,2020,02,6.8
4909530,Fuels and lubricants for personal transport equipment,Iceland,2020,02,3.0
4909531,Fuels and lubricants for personal transport equipment,Italy,2020,02,1.6
4909532,Fuels and lubricants for personal transport equipment,Lithuania,2020,02,7.3
4909533,Fuels and lubricants for personal transport equipment,Luxembourg,2020,02,3.8
4909534,Fuels and lubricants for personal transport equipment,Latvia,2020,02,4.8
4909535,Fuels and lubricants for personal transport equipment,Montenegro,2020,02,1.7 d
4909536,Fuels and lubricants for personal transport equipment,North Macedonia,2020,02,4.1 d
4909537,Fuels and lubricants for personal transport equipment,Malta,2020,02,3.8
4909538,Fuels and lubricants for personal transport equipment,Netherlands,2020,02,4.6
4909539,Fuels and lubricants for personal transport equipment,Norway,2020,02,1.6
4909540,Fuels and lubricants for personal transport equipment,Poland,2020,02,2.4
4909541,Fuels and lubricants for personal transport equipment,Portugal,2020,02,3.2
4909542,Fuels and lubricants for personal transport equipment,Romania,2020,02,-4.0
4909543,Fuels and lubricants for personal transport equipment,Serbia,2020,02,1.9 d
4909544,Fuels and lubricants for personal transport equipment,Sweden,2020,02,3.0
4909545,Fuels and lubricants for personal transport equipment,Slovenia,2020,02,1.9
4909546,Fuels and lubricants for personal transport equipment,Slovakia,2020,02,0.0
4910489,Communications,Albania,2020,02,-0.3 d
4910490,Communications,Austria,2020,02,-4.2
4910491,Communications,Belgium,2020,02,0.3
4910492,Communications,Bulgaria,2020,02,-2.0
4910493,Communications,Switzerland,2020,02,0.1
4910494,Communications,Cyprus,2020,02,4.1
4910496,Communications,Germany,2020,02,-0.6
4910497,Communications,Denmark,2020,02,-1.6
4910501,Communications,Estonia,2020,02,-1.7
4910503,Communications,Greece,2020,02,-0.6
4910504,Communications,Spain,2020,02,-0.7
4910508,Communications,Finland,2020,02,-0.1
4910509,Communications,France,2020,02,1.0
4910510,Communications,Croatia,2020,02,0.2
4910511,Communications,Hungary,2020,02,1.5
4910512,Communications,Ireland,2020,02,-9.5
4910513,Communications,Iceland,2020,02,-2.7
4910514,Communications,Italy,2020,02,-4.3
4910515,Communications,Lithuania,2020,02,-1.1
4910516,Communications,Luxembourg,2020,02,-1.8
4910517,Communications,Latvia,2020,02,2.4
4910518,Communications,Montenegro,2020,02,-0.8 d
4910519,Communications,North Macedonia,2020,02,-0.2 d
4910520,Communications,Malta,2020,02,0.3
4910521,Communications,Netherlands,2020,02,-1.7
4910522,Communications,Norway,2020,02,6.6
4910523,Communications,Poland,2020,02,2.0
4910524,Communications,Portugal,2020,02,-4.3
4910525,Communications,Romania,2020,02,3.5
4910526,Communications,Serbia,2020,02,4.5 d
4910527,Communications,Sweden,2020,02,-3.1
4910528,Communications,Slovenia,2020,02,-2.3
4910529,Communications,Slovakia,2020,02,2.1
4913823,Education,Albania,2020,02,0.1 d
4913824,Education,Austria,2020,02,2.1
4913825,Education,Belgium,2020,02,1.5
4913826,Education,Bulgaria,2020,02,3.4
4913827,Education,Switzerland,2020,02,0.9
4913828,Education,Cyprus,2020,02,1.7
4913830,Education,Germany,2020,02,-2.1
4913831,Education,Denmark,2020,02,1.8
4913835,Education,Estonia,2020,02,3.6
4913837,Education,Greece,2020,02,0.5
4913838,Education,Spain,2020,02,0.9
4913842,Education,Finland,2020,02,0.7
4913843,Education,France,2020,02,2.2
4913844,Education,Croatia,2020,02,0.4
4913845,Education,Hungary,2020,02,4.2
4913846,Education,Ireland,2020,02,4.1
4913847,Education,Iceland,2020,02,2.5
4913848,Education,Italy,2020,02,1.2
4913849,Education,Lithuania,2020,02,8.3
4913850,Education,Luxembourg,2020,02,1.0
4913851,Education,Latvia,2020,02,-0.5
4913852,Education,Montenegro,2020,02,0.1 d
4913853,Education,North Macedonia,2020,02,0.2 d
4913854,Education,Malta,2020,02,2.4
4913855,Education,Netherlands,2020,02,0.2
4913856,Education,Norway,2020,02,3.5
4913857,Education,Poland,2020,02,4.3
4913858,Education,Portugal,2020,02,-0.6
4913859,Education,Romania,2020,02,3.5
4913860,Education,Serbia,2020,02,1.1 d
4913861,Education,Sweden,2020,02,1.8
4913862,Education,Slovenia,2020,02,3.9
4913863,Education,Slovakia,2020,02,5.0
4914094,Restaurants and hotels,Albania,2020,02,0.4 d
4914095,Restaurants and hotels,Austria,2020,02,3.3
4914096,Restaurants and hotels,Belgium,2020,02,3.0
4914097,Restaurants and hotels,Bulgaria,2020,02,5.0
4914098,Restaurants and hotels,Switzerland,2020,02,1.0
4914099,Restaurants and hotels,Cyprus,2020,02,0.8
4914101,Restaurants and hotels,Germany,2020,02,2.7
4914102,Restaurants and hotels,Denmark,2020,02,1.6
4914106,Restaurants and hotels,Estonia,2020,02,3.6
4914108,Restaurants and hotels,Greece,2020,02,0.6
4914109,Restaurants and hotels,Spain,2020,02,2.3
4914113,Restaurants and hotels,Finland,2020,02,1.2
4914114,Restaurants and hotels,France,2020,02,1.8
4914115,Restaurants and hotels,Croatia,2020,02,1.3
4914116,Restaurants and hotels,Hungary,2020,02,6.9
4914117,Restaurants and hotels,Ireland,2020,02,1.3
4914118,Restaurants and hotels,Iceland,2020,02,-1.0
4914119,Restaurants and hotels,Italy,2020,02,1.5
4914120,Restaurants and hotels,Lithuania,2020,02,5.0
4914121,Restaurants and hotels,Luxembourg,2020,02,2.2
4914122,Restaurants and hotels,Latvia,2020,02,2.4
4914123,Restaurants and hotels,Montenegro,2020,02,1.2 d
4914124,Restaurants and hotels,North Macedonia,2020,02,1.0 d
4914125,Restaurants and hotels,Malta,2020,02,1.1
4914126,Restaurants and hotels,Netherlands,2020,02,1.8
4914127,Restaurants and hotels,Norway,2020,02,1.5
4914128,Restaurants and hotels,Poland,2020,02,7.1
4914129,Restaurants and hotels,Portugal,2020,02,2.5
4914130,Restaurants and hotels,Romania,2020,02,3.8
4914131,Restaurants and hotels,Serbia,2020,02,1.7 d
4914132,Restaurants and hotels,Sweden,2020,02,2.7
4914133,Restaurants and hotels,Slovenia,2020,02,2.7
4914134,Restaurants and hotels,Slovakia,2020,02,1.9
4914351,Accommodation services,Albania,2020,02,0.4 d
4914352,Accommodation services,Austria,2020,02,2.4
4914353,Accommodation services,Belgium,2020,02,8.1
4914354,Accommodation services,Bulgaria,2020,02,2.9
4914355,Accommodation services,Switzerland,2020,02,1.8
4914356,Accommodation services,Cyprus,2020,02,-3.1
4914358,Accommodation services,Germany,2020,02,2.2
4914359,Accommodation services,Denmark,2020,02,0.2
4914363,Accommodation services,Estonia,2020,02,3.9
4914365,Accommodation services,Greece,2020,02,0.6
4914366,Accommodation services,Spain,2020,02,4.6
4914370,Accommodation services,Finland,2020,02,0.6
4914371,Accommodation services,France,2020,02,3.2
4914372,Accommodation services,Croatia,2020,02,-1.0
4914373,Accommodation services,Hungary,2020,02,8.2
4914374,Accommodation services,Ireland,2020,02,2.4
4914375,Accommodation services,Iceland,2020,02,-5.6
4914376,Accommodation services,Italy,2020,02,1.7
4914377,Accommodation services,Lithuania,2020,02,0.2
4914378,Accommodation services,Luxembourg,2020,02,2.3
4914379,Accommodation services,Latvia,2020,02,-2.3
4914380,Accommodation services,Montenegro,2020,02,3.3 d
4914381,Accommodation services,North Macedonia,2020,02,0.7 d
4914382,Accommodation services,Malta,2020,02,-0.5
4914383,Accommodation services,Netherlands,2020,02,-1.0
4914384,Accommodation services,Norway,2020,02,-6.5
4914385,Accommodation services,Poland,2020,02,3.5
4914386,Accommodation services,Portugal,2020,02,3.6
4914387,Accommodation services,Romania,2020,02,4.4
4914388,Accommodation services,Serbia,2020,02,-1.7 d
4914389,Accommodation services,Sweden,2020,02,1.0
4914390,Accommodation services,Slovenia,2020,02,-0.1
4914391,Accommodation services,Slovakia,2020,02,3.3
4918018,All-items HICP,Albania,2020,03,2.6 d
4918019,All-items HICP,Austria,2020,03,1.6
4918020,All-items HICP,Belgium,2020,03,0.4
4918021,All-items HICP,Bulgaria,2020,03,2.4
4918022,All-items HICP,Switzerland,2020,03,-0.4
4918023,All-items HICP,Cyprus,2020,03,0.1
4918025,All-items HICP,Germany,2020,03,1.3
4918026,All-items HICP,Denmark,2020,03,0.3
4918030,All-items HICP,Estonia,2020,03,1.0
4918032,All-items HICP,Greece,2020,03,0.2
4918033,All-items HICP,Spain,2020,03,0.1
4918037,All-items HICP,Finland,2020,03,0.9
4918038,All-items HICP,France,2020,03,0.8
4918039,All-items HICP,Croatia,2020,03,0.5
4918040,All-items HICP,Hungary,2020,03,3.9
4918041,All-items HICP,Ireland,2020,03,0.5
4918042,All-items HICP,Iceland,2020,03,1.0
4918043,All-items HICP,Italy,2020,03,0.1
4918044,All-items HICP,Lithuania,2020,03,1.7
4918045,All-items HICP,Luxembourg,2020,03,0.3
4918046,All-items HICP,Latvia,2020,03,1.4
4918047,All-items HICP,Montenegro,2020,03,-0.1 d
4918048,All-items HICP,North Macedonia,2020,03,-0.3 d
4918049,All-items HICP,Malta,2020,03,1.2
4918050,All-items HICP,Netherlands,2020,03,1.1
4918051,All-items HICP,Norway,2020,03,0.5
4918052,All-items HICP,Poland,2020,03,3.9
4918053,All-items HICP,Portugal,2020,03,0.1
4918054,All-items HICP,Romania,2020,03,2.7
4918055,All-items HICP,Serbia,2020,03,1.7 d
4918056,All-items HICP,Sweden,2020,03,0.8
4918057,All-items HICP,Slovenia,2020,03,0.7
4918058,All-items HICP,Slovakia,2020,03,2.4
4918063,Food and non-alcoholic beverages,Albania,2020,03,6.2 d
4918064,Food and non-alcoholic beverages,Austria,2020,03,1.9
4918065,Food and non-alcoholic beverages,Belgium,2020,03,2.4
4918066,Food and non-alcoholic beverages,Bulgaria,2020,03,6.6
4918067,Food and non-alcoholic beverages,Switzerland,2020,03,-0.4
4918068,Food and non-alcoholic beverages,Cyprus,2020,03,0.8
4918070,Food and non-alcoholic beverages,Germany,2020,03,3.6
4918071,Food and non-alcoholic beverages,Denmark,2020,03,1.2
4918075,Food and non-alcoholic beverages,Estonia,2020,03,2.0
4918077,Food and non-alcoholic beverages,Greece,2020,03,0.1
4918078,Food and non-alcoholic beverages,Spain,2020,03,2.5
4918082,Food and non-alcoholic beverages,Finland,2020,03,1.8
4918083,Food and non-alcoholic beverages,France,2020,03,2.0
4918084,Food and non-alcoholic beverages,Croatia,2020,03,2.6
4918085,Food and non-alcoholic beverages,Hungary,2020,03,7.6
4918086,Food and non-alcoholic beverages,Ireland,2020,03,-1.6
4918087,Food and non-alcoholic beverages,Iceland,2020,03,2.3
4918088,Food and non-alcoholic beverages,Italy,2020,03,1.3
4918089,Food and non-alcoholic beverages,Lithuania,2020,03,3.9
4918090,Food and non-alcoholic beverages,Luxembourg,2020,03,2.9
4918091,Food and non-alcoholic beverages,Latvia,2020,03,3.6
4918092,Food and non-alcoholic beverages,Montenegro,2020,03,0.7 d
4918093,Food and non-alcoholic beverages,North Macedonia,2020,03,-1.4 d
4918094,Food and non-alcoholic beverages,Malta,2020,03,2.3
4918095,Food and non-alcoholic beverages,Netherlands,2020,03,3.1
4918096,Food and non-alcoholic beverages,Norway,2020,03,2.7
4918097,Food and non-alcoholic beverages,Poland,2020,03,7.7
4918098,Food and non-alcoholic beverages,Portugal,2020,03,1.2
4918099,Food and non-alcoholic beverages,Romania,2020,03,5.0
4918100,Food and non-alcoholic beverages,Serbia,2020,03,1.4 d
4918101,Food and non-alcoholic beverages,Sweden,2020,03,2.5
4918102,Food and non-alcoholic beverages,Slovenia,2020,03,4.1
4918103,Food and non-alcoholic beverages,Slovakia,2020,03,3.7
4921105,"Alcoholic beverages, tobacco and narcotics",Albania,2020,03,1.0 d
4921106,"Alcoholic beverages, tobacco and narcotics",Austria,2020,03,0.8
4921107,"Alcoholic beverages, tobacco and narcotics",Belgium,2020,03,3.4
4921108,"Alcoholic beverages, tobacco and narcotics",Bulgaria,2020,03,2.2
4921109,"Alcoholic beverages, tobacco and narcotics",Switzerland,2020,03,1.5
4921110,"Alcoholic beverages, tobacco and narcotics",Cyprus,2020,03,0.2
4921112,"Alcoholic beverages, tobacco and narcotics",Germany,2020,03,1.7
4921113,"Alcoholic beverages, tobacco and narcotics",Denmark,2020,03,-0.7
4921117,"Alcoholic beverages, tobacco and narcotics",Estonia,2020,03,-2.6
4921119,"Alcoholic beverages, tobacco and narcotics",Greece,2020,03,0.2
4921120,"Alcoholic beverages, tobacco and narcotics",Spain,2020,03,0.5
4921124,"Alcoholic beverages, tobacco and narcotics",Finland,2020,03,3.5
4921125,"Alcoholic beverages, tobacco and narcotics",France,2020,03,7.7
4921126,"Alcoholic beverages, tobacco and narcotics",Croatia,2020,03,0.5
4921127,"Alcoholic beverages, tobacco and narcotics",Hungary,2020,03,7.2
4921128,"Alcoholic beverages, tobacco and narcotics",Ireland,2020,03,2.8
4921129,"Alcoholic beverages, tobacco and narcotics",Iceland,2020,03,2.7
4921130,"Alcoholic beverages, tobacco and narcotics",Italy,2020,03,2.0
4921131,"Alcoholic beverages, tobacco and narcotics",Lithuania,2020,03,3.2
4921132,"Alcoholic beverages, tobacco and narcotics",Luxembourg,2020,03,1.1
4921133,"Alcoholic beverages, tobacco and narcotics",Latvia,2020,03,0.1
4921134,"Alcoholic beverages, tobacco and narcotics",Montenegro,2020,03,2.4 d
4921135,"Alcoholic beverages, tobacco and narcotics",North Macedonia,2020,03,3.4 d
4921136,"Alcoholic beverages, tobacco and narcotics",Malta,2020,03,0.1
4921137,"Alcoholic beverages, tobacco and narcotics",Netherlands,2020,03,1.9
4921138,"Alcoholic beverages, tobacco and narcotics",Norway,2020,03,2.4
4921139,"Alcoholic beverages, tobacco and narcotics",Poland,2020,03,4.5
4921140,"Alcoholic beverages, tobacco and narcotics",Portugal,2020,03,1.1
4921141,"Alcoholic beverages, tobacco and narcotics",Romania,2020,03,6.6
4921142,"Alcoholic beverages, tobacco and narcotics",Serbia,2020,03,5.4 d
4921143,"Alcoholic beverages, tobacco and narcotics",Sweden,2020,03,1.7
4921144,"Alcoholic beverages, tobacco and narcotics",Slovenia,2020,03,2.1
4921145,"Alcoholic beverages, tobacco and narcotics",Slovakia,2020,03,0.3
4921150,Alcoholic beverages,Albania,2020,03,1.1 d
4921151,Alcoholic beverages,Austria,2020,03,1.8
4921152,Alcoholic beverages,Belgium,2020,03,4.0
4921153,Alcoholic beverages,Bulgaria,2020,03,2.0
4921154,Alcoholic beverages,Switzerland,2020,03,2.9
4921155,Alcoholic beverages,Cyprus,2020,03,0.1
4921157,Alcoholic beverages,Germany,2020,03,0.0
4921158,Alcoholic beverages,Denmark,2020,03,-2.1
4921162,Alcoholic beverages,Estonia,2020,03,-8.6
4921164,Alcoholic beverages,Greece,2020,03,0.9
4921165,Alcoholic beverages,Spain,2020,03,1.2
4921169,Alcoholic beverages,Finland,2020,03,0.9
4921170,Alcoholic beverages,France,2020,03,1.3
4921171,Alcoholic beverages,Croatia,2020,03,1.2
4921172,Alcoholic beverages,Hungary,2020,03,1.7
4921173,Alcoholic beverages,Ireland,2020,03,-0.8
4921174,Alcoholic beverages,Iceland,2020,03,2.0
4921175,Alcoholic beverages,Italy,2020,03,0.9
4921176,Alcoholic beverages,Lithuania,2020,03,1.8
4921177,Alcoholic beverages,Luxembourg,2020,03,1.5
4921178,Alcoholic beverages,Latvia,2020,03,-1.7
4921179,Alcoholic beverages,Montenegro,2020,03,0.8 d
4921180,Alcoholic beverages,North Macedonia,2020,03,0.5 d
4921181,Alcoholic beverages,Malta,2020,03,0.3
4921182,Alcoholic beverages,Netherlands,2020,03,0.1
4921183,Alcoholic beverages,Norway,2020,03,2.2
4921184,Alcoholic beverages,Poland,2020,03,3.5
4921185,Alcoholic beverages,Portugal,2020,03,0.3
4921186,Alcoholic beverages,Romania,2020,03,2.7
4921187,Alcoholic beverages,Serbia,2020,03,1.8 d
4921188,Alcoholic beverages,Sweden,2020,03,1.4
4921189,Alcoholic beverages,Slovenia,2020,03,1.4
4921190,Alcoholic beverages,Slovakia,2020,03,0.5
4925768,Health,Albania,2020,03,0.1 d
4925769,Health,Austria,2020,03,1.8
4925770,Health,Belgium,2020,03,0.6
4925771,Health,Bulgaria,2020,03,2.6
4925772,Health,Switzerland,2020,03,-0.8
4925773,Health,Cyprus,2020,03,0.1
4925775,Health,Germany,2020,03,1.3
4925776,Health,Denmark,2020,03,1.6
4925780,Health,Estonia,2020,03,3.3
4925782,Health,Greece,2020,03,1.6
4925783,Health,Spain,2020,03,0.3
4925787,Health,Finland,2020,03,1.7
4925788,Health,France,2020,03,-0.1
4925789,Health,Croatia,2020,03,1.2
4925790,Health,Hungary,2020,03,3.9
4925791,Health,Ireland,2020,03,0.8
4925792,Health,Iceland,2020,03,1.5
4925793,Health,Italy,2020,03,0.6
4925794,Health,Lithuania,2020,03,3.4
4925795,Health,Luxembourg,2020,03,0.6
4925796,Health,Latvia,2020,03,3.6
4925797,Health,Montenegro,2020,03,0.7 d
4925798,Health,North Macedonia,2020,03,0.3 d
4925799,Health,Malta,2020,03,1.9
4925800,Health,Netherlands,2020,03,1.4
4925801,Health,Norway,2020,03,3.6
4925802,Health,Poland,2020,03,4.4
4925803,Health,Portugal,2020,03,0.7
4925804,Health,Romania,2020,03,2.2
4925805,Health,Serbia,2020,03,1.6 d
4925806,Health,Sweden,2020,03,1.6
4925807,Health,Slovenia,2020,03,0.2
